ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,mean,points
55454,4.205916467030168e-5,9.902413005854963e-5,1.3822023794993326e-4,1.663223667672791e-4,6.6254782767131e-6,2.1465401882561418e-5,5.5548028722395336e-5,3.529859542284648e-5,3.4534870179675026e-5,2.2991240030998323e-5,2.5482197499771722e-5,0,9.009400429732407e-5,1.3057748676988903e-6,2.7312174743294008e-5,1.0310122026738013e-5,0,6.4808004598668e-5,5.2587611999671755e-5,16
55476,0,0,8.906793376248683e-6,1.7955255503285813e-5,1.7557517433289715e-5,1.3198938604383508e-4,7.5870478254979e-5,7.417820777264839e-5,8.620331936321983e-5,4.3530081125356824e-5,1.4100149283207018e-4,5.858004073404975e-5,5.997381942869206e-5,2.480972248627892e-5,2.845018202426459e-7,1.5787374353442583e-5,7.090711975901532e-5,3.037875215562562e-6,5.191081159388859e-5,16
55485,0,0,0,0,7.5861726268365e-5,7.079015514461744e-5,5.216095380029806e-5,6.343515699178207e-5,7.201457425064017e-5,8.276846411159396e-5,6.965133983270938e-5,3.452038114685075e-5,1.5993018514317884e-5,5.6670629258131846e-5,6.401290955459533e-5,3.8662957600267545e-5,3.856352127244692e-5,2.2615293271410184e-5,5.4122934358430465e-5,14
55490,4.335996357763059e-7,1.6236099246612844e-4,1.1974688872512118e-4,1.2568678852300068e-4,6.691733059480232e-5,3.0142904771256458e-5,4.4709388971684054e-5,4.9622663130668236e-5,2.329095895838548e-5,2.7896037904277965e-5,1.622366574152133e-4,2.8243948211059703e-5,5.331006171439295e-7,3.7606316189728045e-5,2.845018202426459e-7,3.221913133355629e-7,3.1099613929392683e-7,0,5.178501561100695e-5,17
55503,6.720794354532742e-5,3.0768211839620775e-4,2.0683553507066385e-4,2.7688894012961807e-4,1.32509565534262e-5,2.3748955274323268e-5,3.3870749220972767e-6,2.5578692335396e-7,4.818819094838376e-6,8.889946145319351e-6,0,0,0,0,3.385571660887486e-5,3.221913133355629e-7,0,3.3754169061806245e-7,7.288319428215415e-5,13
55517,4.335996357763059e-7,5.529918951321603e-5,2.7710023837218126e-5,0,8.083083497589982e-5,8.86018716003599e-5,7.925755317707628e-5,9.822217856792063e-5,5.24715856993512e-5,7.050646942839486e-5,0,7.740933954142288e-5,1.066201234287859e-6,8.513652137396766e-5,2.3898152900382257e-5,2.7064070320187282e-5,0,5.501929557074418e-5,5.486179249174702e-5,15
55524,1.0406391258631343e-4,9.998865080587316e-5,9.632532095794872e-5,8.599622372626362e-5,3.97528696602786e-6,4.5671067835237057e-7,5.216095380029806e-5,4.553007235700488e-5,3.640885538322328e-5,5.027417820111633e-5,1.7837538249840205e-5,3.556645330281592e-5,6.770377837727904e-5,7.808533708839365e-5,1.9630625596742568e-5,0,0,6.075750431125124e-5,5.3422587649296525e-5,16
55534,1.4785747579972033e-4,5.079809269237286e-5,1.0622175804266947e-4,1.7104743400498588e-4,1.3615357858645421e-4,1.9638559169151934e-5,5.487061373797588e-5,4.6553220050420715e-5,6.719575515580179e-5,5.242002727067618e-5,1.9961054708154515e-5,0,0,4.4135190528222495e-5,8.535054607279378e-7,1.4498609100100331e-5,0,0,6.658606245053104e-5,14
55539,0,9.645207473235352e-6,6.597624723147173e-7,0,1.98764348301393e-5,3.6536854268189645e-5,3.18385042677144e-5,5.039002390073012e-5,5.059760049580294e-5,5.763137501103579e-5,0,4.707324701843284e-5,4.664630400009382e-5,1.394567558702415e-4,4.7511803980521866e-5,7.764810651387065e-5,6.0644247162315724e-5,9.248642322934912e-5,5.124284336626585e-5,15
55543,0,6.751645231264747e-6,1.0226318320878117e-5,9.450134475413585e-7,0,9.134213567047411e-7,1.9306327055954478e-4,9.20832924074256e-5,8.888044108257448e-5,1.0146800600347259e-4,5.6060834499497785e-5,1.778322665140796e-4,4.184839844579846e-5,2.6115497353977806e-7,5.633136040804389e-5,3.1574748706885165e-5,6.219922785878537e-7,1.1408909142890511e-4,6.08094534790465e-5,16
55552,0,0,0,0,1.391350438109751e-5,1.644158442068534e-5,2.0999864517003117e-5,2.68576269521658e-5,3.159003628838491e-5,2.6363288568878077e-5,5.648553779116065e-5,7.845541169738806e-5,9.51584601601914e-5,9.950004491865544e-5,9.786862616347019e-5,8.666946328726643e-5,8.832290355947522e-5,7.527179700782793e-5,5.8135582122403576e-5,14
55558,1.756078524894039e-4,5.5942203344765045e-5,6.762565341225852e-5,2.0790295845909886e-5,4.737216967849867e-5,3.562343291148491e-5,4.538680395610351e-5,3.7089103886324195e-5,4.0959962306126195e-5,3.770563365083725e-5,7.432307604100086e-5,1.0251507128458707e-4,3.971599597722274e-5,4.88359800519385e-5,3.1010698406448406e-5,7.088208893382384e-5,6.219922785878537e-7,2.464054341511856e-5,5.314714210391333e-5,18
55561,0,0,0,6.993099511806053e-5,4.074669140178557e-5,7.44438405714364e-5,7.045115837962336e-5,6.701617391873752e-5,8.540018284741343e-5,7.694401663707438e-5,8.069362541594379e-5,3.24282368349204e-5,1.268779468802552e-4,7.834649206193342e-7,6.145239317241152e-5,6.443826266711258e-7,5.9711258744433944e-5,4.3205336399111994e-5,5.93819802578999e-5,15
