n_neighbour,cluster_type,cluster_size,sample_name
8,centroid,3,clone_rm
9,centroid,3,clone_rm
10,centroid,2,clone_rm
11,centroid,3,clone_rm
12,centroid,3,clone_rm
13,centroid,2,clone_rm
14,centroid,3,clone_rm
15,centroid,2,clone_rm
16,centroid,2,clone_rm
17,centroid,2,clone_rm
18,centroid,2,clone_rm
19,centroid,3,clone_rm
20,centroid,2,clone_rm
21,centroid,3,clone_rm
22,centroid,3,clone_rm
23,centroid,3,clone_rm
24,centroid,3,clone_rm
25,centroid,2,clone_rm
26,centroid,2,clone_rm
27,centroid,3,clone_rm
28,centroid,3,clone_rm
29,centroid,2,clone_rm
30,centroid,3,clone_rm
31,centroid,2,clone_rm
32,centroid,3,clone_rm
33,centroid,2,clone_rm
34,centroid,2,clone_rm
35,centroid,2,clone_rm
36,centroid,2,clone_rm
37,centroid,3,clone_rm
38,centroid,2,clone_rm
39,centroid,2,clone_rm
40,centroid,3,clone_rm
41,centroid,2,clone_rm
42,centroid,2,clone_rm
43,centroid,5,clone_rm
44,centroid,2,clone_rm
45,centroid,3,clone_rm
46,centroid,2,clone_rm
47,centroid,2,clone_rm
48,centroid,3,clone_rm
49,centroid,2,clone_rm
50,centroid,2,clone_rm
51,centroid,2,clone_rm
52,centroid,3,clone_rm
53,centroid,2,clone_rm
54,centroid,2,clone_rm
55,centroid,2,clone_rm
56,centroid,2,clone_rm
57,centroid,2,clone_rm
58,centroid,2,clone_rm
59,centroid,2,clone_rm
60,centroid,2,clone_rm
61,centroid,2,clone_rm
62,centroid,2,clone_rm
63,centroid,2,clone_rm
64,centroid,2,clone_rm
65,centroid,3,clone_rm
66,centroid,2,clone_rm
2,kmeans,3,clone_rm
3,kmeans,6,clone_rm
4,kmeans,7,clone_rm
5,kmeans,3,clone_rm
6,kmeans,2,clone_rm
7,kmeans,3,clone_rm
8,kmeans,2,clone_rm
9,kmeans,3,clone_rm
10,kmeans,2,clone_rm
11,kmeans,3,clone_rm
12,kmeans,2,clone_rm
13,kmeans,3,clone_rm
14,kmeans,2,clone_rm
15,kmeans,2,clone_rm
16,kmeans,3,clone_rm
17,kmeans,2,clone_rm
18,kmeans,2,clone_rm
19,kmeans,3,clone_rm
20,kmeans,5,clone_rm
21,kmeans,2,clone_rm
22,kmeans,3,clone_rm
23,kmeans,2,clone_rm
24,kmeans,3,clone_rm
25,kmeans,3,clone_rm
26,kmeans,2,clone_rm
27,kmeans,3,clone_rm
28,kmeans,2,clone_rm
29,kmeans,2,clone_rm
30,kmeans,2,clone_rm
31,kmeans,2,clone_rm
32,kmeans,2,clone_rm
33,kmeans,2,clone_rm
34,kmeans,2,clone_rm
35,kmeans,2,clone_rm
36,kmeans,2,clone_rm
37,kmeans,2,clone_rm
38,kmeans,2,clone_rm
39,kmeans,2,clone_rm
40,kmeans,2,clone_rm
41,kmeans,2,clone_rm
42,kmeans,3,clone_rm
43,kmeans,2,clone_rm
44,kmeans,2,clone_rm
45,kmeans,2,clone_rm
46,kmeans,2,clone_rm
47,kmeans,2,clone_rm
