n_neighbour,cluster_type,cluster_size,sample_name
2,kmeans,4,gf
3,kmeans,7,gf
4,kmeans,3,gf
5,kmeans,4,gf
6,kmeans,2,gf
7,kmeans,4,gf
8,kmeans,2,gf
9,kmeans,3,gf
10,kmeans,2,gf
11,kmeans,3,gf
12,kmeans,3,gf
13,kmeans,3,gf
14,kmeans,3,gf
15,kmeans,3,gf
16,kmeans,3,gf
17,kmeans,3,gf
18,kmeans,3,gf
19,kmeans,3,gf
20,kmeans,3,gf
21,kmeans,3,gf
22,kmeans,2,gf
23,kmeans,3,gf
24,kmeans,3,gf
25,kmeans,3,gf
26,kmeans,3,gf
27,kmeans,3,gf
28,kmeans,3,gf
29,kmeans,3,gf
30,kmeans,2,gf
31,kmeans,3,gf
32,kmeans,3,gf
33,kmeans,3,gf
34,kmeans,2,gf
35,kmeans,3,gf
36,kmeans,3,gf
37,kmeans,3,gf
38,kmeans,3,gf
39,kmeans,3,gf
40,kmeans,3,gf
41,kmeans,3,gf
42,kmeans,2,gf
43,kmeans,2,gf
44,kmeans,2,gf
45,kmeans,2,gf
46,kmeans,2,gf
47,kmeans,3,gf
48,kmeans,3,gf
49,kmeans,3,gf
50,kmeans,3,gf
51,kmeans,3,gf
52,kmeans,3,gf
53,kmeans,3,gf
54,kmeans,3,gf
55,kmeans,3,gf
56,kmeans,3,gf
57,kmeans,2,gf
58,kmeans,3,gf
59,kmeans,3,gf
60,kmeans,3,gf
61,kmeans,3,gf
62,kmeans,3,gf
63,kmeans,2,gf
64,kmeans,3,gf
