n_neighbour,cluster_type,cluster_size,sample_name
33,kmeans,3,rm
34,kmeans,2,rm
35,kmeans,2,rm
36,kmeans,2,rm
37,kmeans,2,rm
38,kmeans,3,rm
39,kmeans,3,rm
40,kmeans,2,rm
41,kmeans,2,rm
42,kmeans,2,rm
43,kmeans,3,rm
44,kmeans,4,rm
45,kmeans,5,rm
46,kmeans,3,rm
47,kmeans,2,rm
48,kmeans,2,rm
49,kmeans,2,rm
50,kmeans,6,rm
51,kmeans,2,rm
52,kmeans,2,rm
53,kmeans,2,rm
54,kmeans,2,rm
55,kmeans,2,rm
56,kmeans,3,rm
57,kmeans,2,rm
58,kmeans,3,rm
59,kmeans,3,rm
60,kmeans,3,rm
61,kmeans,2,rm
62,kmeans,2,rm
63,kmeans,2,rm
64,kmeans,2,rm
65,kmeans,2,rm
66,kmeans,3,rm
