n_neighbour,cluster_type,cluster_size,sample_name
8,mcquitty,3,gf_without_gf3
9,mcquitty,2,gf_without_gf3
10,mcquitty,3,gf_without_gf3
11,mcquitty,2,gf_without_gf3
12,mcquitty,2,gf_without_gf3
13,mcquitty,2,gf_without_gf3
14,mcquitty,3,gf_without_gf3
15,mcquitty,2,gf_without_gf3
16,mcquitty,2,gf_without_gf3
17,mcquitty,3,gf_without_gf3
18,mcquitty,3,gf_without_gf3
19,mcquitty,3,gf_without_gf3
20,mcquitty,3,gf_without_gf3
21,mcquitty,2,gf_without_gf3
22,mcquitty,2,gf_without_gf3
23,mcquitty,2,gf_without_gf3
24,mcquitty,2,gf_without_gf3
25,mcquitty,2,gf_without_gf3
26,mcquitty,2,gf_without_gf3
27,mcquitty,3,gf_without_gf3
28,mcquitty,2,gf_without_gf3
29,mcquitty,2,gf_without_gf3
30,mcquitty,2,gf_without_gf3
31,mcquitty,2,gf_without_gf3
32,mcquitty,3,gf_without_gf3
33,mcquitty,4,gf_without_gf3
34,mcquitty,2,gf_without_gf3
35,mcquitty,3,gf_without_gf3
36,mcquitty,2,gf_without_gf3
37,mcquitty,3,gf_without_gf3
38,mcquitty,3,gf_without_gf3
39,mcquitty,2,gf_without_gf3
40,mcquitty,2,gf_without_gf3
41,mcquitty,3,gf_without_gf3
42,mcquitty,2,gf_without_gf3
43,mcquitty,2,gf_without_gf3
44,mcquitty,3,gf_without_gf3
45,mcquitty,2,gf_without_gf3
46,mcquitty,3,gf_without_gf3
47,mcquitty,3,gf_without_gf3
48,mcquitty,2,gf_without_gf3
2,median,5,gf_without_gf3
3,median,7,gf_without_gf3
4,median,7,gf_without_gf3
5,median,3,gf_without_gf3
6,median,7,gf_without_gf3
7,median,3,gf_without_gf3
8,median,7,gf_without_gf3
9,median,3,gf_without_gf3
10,median,3,gf_without_gf3
11,median,2,gf_without_gf3
12,median,2,gf_without_gf3
13,median,7,gf_without_gf3
14,median,3,gf_without_gf3
15,median,2,gf_without_gf3
16,median,2,gf_without_gf3
17,median,3,gf_without_gf3
18,median,3,gf_without_gf3
19,median,3,gf_without_gf3
20,median,3,gf_without_gf3
21,median,2,gf_without_gf3
22,median,2,gf_without_gf3
23,median,2,gf_without_gf3
24,median,2,gf_without_gf3
25,median,3,gf_without_gf3
26,median,2,gf_without_gf3
27,median,3,gf_without_gf3
28,median,2,gf_without_gf3
29,median,2,gf_without_gf3
30,median,3,gf_without_gf3
31,median,2,gf_without_gf3
32,median,3,gf_without_gf3
33,median,3,gf_without_gf3
34,median,3,gf_without_gf3
35,median,3,gf_without_gf3
36,median,2,gf_without_gf3
37,median,3,gf_without_gf3
38,median,3,gf_without_gf3
39,median,2,gf_without_gf3
40,median,2,gf_without_gf3
41,median,3,gf_without_gf3
42,median,4,gf_without_gf3
43,median,2,gf_without_gf3
44,median,3,gf_without_gf3
45,median,2,gf_without_gf3
46,median,4,gf_without_gf3
47,median,3,gf_without_gf3
48,median,2,gf_without_gf3
2,centroid,5,gf_without_gf3
3,centroid,7,gf_without_gf3
4,centroid,7,gf_without_gf3
5,centroid,3,gf_without_gf3
6,centroid,4,gf_without_gf3
7,centroid,4,gf_without_gf3
8,centroid,3,gf_without_gf3
9,centroid,3,gf_without_gf3
10,centroid,3,gf_without_gf3
11,centroid,3,gf_without_gf3
12,centroid,2,gf_without_gf3
13,centroid,3,gf_without_gf3
14,centroid,2,gf_without_gf3
15,centroid,2,gf_without_gf3
16,centroid,2,gf_without_gf3
17,centroid,2,gf_without_gf3
18,centroid,3,gf_without_gf3
19,centroid,3,gf_without_gf3
20,centroid,3,gf_without_gf3
21,centroid,2,gf_without_gf3
22,centroid,2,gf_without_gf3
23,centroid,2,gf_without_gf3
24,centroid,2,gf_without_gf3
25,centroid,3,gf_without_gf3
26,centroid,3,gf_without_gf3
27,centroid,2,gf_without_gf3
28,centroid,3,gf_without_gf3
29,centroid,2,gf_without_gf3
30,centroid,3,gf_without_gf3
31,centroid,2,gf_without_gf3
32,centroid,2,gf_without_gf3
33,centroid,3,gf_without_gf3
34,centroid,2,gf_without_gf3
35,centroid,3,gf_without_gf3
36,centroid,2,gf_without_gf3
37,centroid,3,gf_without_gf3
38,centroid,2,gf_without_gf3
39,centroid,2,gf_without_gf3
40,centroid,3,gf_without_gf3
41,centroid,2,gf_without_gf3
42,centroid,2,gf_without_gf3
43,centroid,2,gf_without_gf3
44,centroid,3,gf_without_gf3
45,centroid,3,gf_without_gf3
46,centroid,3,gf_without_gf3
47,centroid,2,gf_without_gf3
48,centroid,2,gf_without_gf3
2,kmeans,3,gf_without_gf3
3,kmeans,3,gf_without_gf3
4,kmeans,5,gf_without_gf3
5,kmeans,3,gf_without_gf3
6,kmeans,4,gf_without_gf3
7,kmeans,4,gf_without_gf3
8,kmeans,3,gf_without_gf3
9,kmeans,3,gf_without_gf3
10,kmeans,5,gf_without_gf3
11,kmeans,3,gf_without_gf3
12,kmeans,2,gf_without_gf3
13,kmeans,2,gf_without_gf3
14,kmeans,3,gf_without_gf3
15,kmeans,2,gf_without_gf3
16,kmeans,2,gf_without_gf3
17,kmeans,3,gf_without_gf3
18,kmeans,2,gf_without_gf3
19,kmeans,2,gf_without_gf3
20,kmeans,2,gf_without_gf3
21,kmeans,3,gf_without_gf3
22,kmeans,2,gf_without_gf3
23,kmeans,2,gf_without_gf3
24,kmeans,2,gf_without_gf3
25,kmeans,3,gf_without_gf3
26,kmeans,3,gf_without_gf3
27,kmeans,3,gf_without_gf3
28,kmeans,2,gf_without_gf3
29,kmeans,2,gf_without_gf3
30,kmeans,4,gf_without_gf3
31,kmeans,2,gf_without_gf3
32,kmeans,2,gf_without_gf3
33,kmeans,3,gf_without_gf3
34,kmeans,2,gf_without_gf3
35,kmeans,2,gf_without_gf3
36,kmeans,2,gf_without_gf3
37,kmeans,3,gf_without_gf3
38,kmeans,2,gf_without_gf3
39,kmeans,2,gf_without_gf3
40,kmeans,2,gf_without_gf3
41,kmeans,3,gf_without_gf3
42,kmeans,3,gf_without_gf3
43,kmeans,2,gf_without_gf3
44,kmeans,2,gf_without_gf3
45,kmeans,2,gf_without_gf3
46,kmeans,3,gf_without_gf3
47,kmeans,3,gf_without_gf3
48,kmeans,2,gf_without_gf3
