C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,time
-3.8857237253972796,-3.8685171315166564,-3.304884394069494,-4.1690045156363364,-3.436740108900594,-2.8222165512546487,-3.5501281516144787,-3.256165770398034,-3.3351779750035564,-3.3534304985321106,-3.2109539796090414,-3.4587599623715795,-3.402136658565469,-4.090109606292955,-3.7751528945869914,-3.4342391835186397,-3.66050888838185,-3.1117797503217224,-3.6465564992078723,-3.621082936694545,63
-3.852667704652229,-3.870964557042586,-3.360156685103968,-4.180230045060638,-3.4384840843201716,-2.8221084289169895,-3.5156529638741665,-3.2562319169840808,-3.3316552378833677,-3.3490806401405724,-3.2090400344322028,-3.4608768487234665,-3.409153193838616,-4.029862720105476,-3.7719032412516826,-3.4305586034405735,-3.653502506334501,-3.107088381912789,-3.627513606179235,-3.6373986854614864,64
-3.8173432675587544,-3.871071124321762,-3.420806967682458,-4.18931664823138,-3.439853874107078,-2.822301451842363,-3.478881694043909,-3.2564607377707815,-3.32832515602793,-3.344640826074661,-3.2073488717299257,-3.4636250603999077,-3.4170623557582256,-3.9660950281926532,-3.7684354009347385,-3.426950856636368,-3.646580697225859,-3.1024479170507884,-3.6077814291339196,-3.6550976077802346,65
-3.7810538972510326,-3.8668880561169137,-3.4856038159620626,-4.193838679060279,-3.4404358850275862,-2.8230652447198614,-3.441096365938645,-3.2570157547744705,-3.325663161933684,-3.340452683256778,-3.206269449365561,-3.4673882172717607,-3.4259025498146736,-3.9013786416696212,-3.764892357588348,-3.4238271494881456,-3.6404289740985103,-3.0983467315067643,-3.5886124943981232,-3.6737406455284867,66
-3.7451030768632383,-3.856466575190771,-3.553315804099876,-4.191370491459049,-3.4398165238479668,-2.8246694322385775,-3.403579003373318,-3.2580604900114825,-3.324144688097067,-3.3368578386093235,-3.2061907252024606,-3.4725499392098795,-3.4357121814983347,-3.838285671651515,-3.7614170951646972,-3.4215986883780287,-3.6357328499950414,-3.095273201051758,-3.5712593282980407,-3.692888740583936,67
-3.7107942895295474,-3.8378579043060626,-3.622711506252996,-4.179486439339399,-3.4375821973344918,-2.8273836390876026,-3.3676116301628656,-3.2597584654981517,-3.324245167014521,-3.3341979190547,-3.2075016571039745,-3.479493846085121,-3.4465296562995835,-3.7793882292534677,-3.7581525976159744,-3.42067667968814,-3.633177837958038,-3.0937157014568144,-3.556974457159867,-3.71210283482428,68
-3.6794310183841352,-3.8091132662255194,-3.6925594965785193,-4.155760876613048,-3.4333193122534325,-2.8314774899560295,-3.33447627012223,-3.262273203250813,-3.3264400311824858,-3.3328145515153094,-3.2105912029334567,-3.4886035577683416,-3.4583933797087956,-3.727258425590615,-3.755241848894367,-3.421472329800601,-3.6334494510300868,-3.094162608492975,-3.5470104073097994,-3.730943870127214,69
-3.6523167465611763,-3.76828388371187,-3.7616283492335416,-4.117768157191708,-3.426614275371061,-2.83722060953295,-3.305454947066351,-3.2657682252858002,-3.3312047130974003,-3.333049362913552,-3.2158483205542567,-3.5002626941303965,-3.4713417572163463,-3.684468371778092,-3.7528278329520637,-3.4243968450975353,-3.637233202253774,-3.0971022979312832,-3.5426197050740322,-3.748972788370434,70
-3.628310572785671,-3.709860349030113,-3.8428404123135094,-4.060183068672138,-3.416501807410347,-2.844451059527242,-3.279139561180099,-3.2699570669179217,-3.33796461399331,-3.334575813650472,-3.223038921450192,-3.5151697404609448,-3.4860289709375465,-3.64965263786259,-3.749921194685952,-3.4290637460343367,-3.644584465732956,-3.102484908380021,-3.5437917057840456,-3.765589745931051,71
-3.6054269027286576,-3.6328028342772316,-3.9446518023011228,-3.982562644551501,-3.402874553607917,-2.8527992634329244,-3.2534183286099467,-3.274511002712538,-3.3459074712261545,-3.33685821306638,-3.2316295927354615,-3.5333149161289077,-3.5027786274649553,-3.6193852771580564,-3.7458240127179607,-3.4348318855047633,-3.6548231024441304,-3.109776275303449,-3.5492215795449753,-3.7809168158861453,72
