C1,C2,C3,C4,C5,C6,C7,time
-4.311323786139775,-3.2653850466423293,-3.6980254100661787,-4.559276252584134,-4.34998341503853,-4.432544031457167,-3.4659345563855846,41
-4.351101377114813,-3.308821413329639,-3.7457123608610945,-4.571500826701252,-4.304166689940069,-4.44400082678025,-3.51346643861746,42
-4.389334411359313,-3.350782452277163,-3.791353480641374,-4.581451879122658,-4.260023949028202,-4.451751655666043,-3.5591129384194655,43
-4.425214659628047,-3.3903654238180754,-3.8339537932201964,-4.588458385188052,-4.218429192431964,-4.454980249331293,-3.601869869766329,44
-4.457933892675789,-3.4266675882855484,-3.8725183224107407,-4.591849320237141,-4.1802564202803865,-4.4528703389927475,-3.6407330466327785,45
-4.486683881257307,-3.4587862060127543,-3.906052092026183,-4.590953659609622,-4.146379632702499,-4.444605655867147,-3.6746982829935404,46
-4.510656396127375,-3.485818537332867,-3.9335601258797017,-4.585100378645198,-4.117672829827334,-4.429369931171241,-3.7027613928233416,47
-4.529043208040764,-3.5068618425790588,-3.954047447784475,-4.57361845268357,-4.095010011783924,-4.406346896121772,-3.723918190096911,48
-4.5410360877522455,-3.521013382084502,-3.9665190815536797,-4.5558368570644445,-4.079265178701301,-4.374720281935491,-3.737164488788975,49
-4.54582680601659,-3.52737041618237,-3.9699800510004946,-4.53108456712752,-4.071312330708498,-4.333673819829139,-3.7414961028742617,50
-4.547087518092134,-3.5303280655777414,-3.968094901623145,-4.492092569711372,-4.066153565470473,-4.270614808173835,-3.7408652769305863,51
-4.548918771398946,-3.5346242132396317,-3.965356618950935,-4.4354545588660175,-4.058660176548087,-4.1790181416088314,-3.73994896771313,52
-4.551154924934399,-3.539870262897116,-3.962012886843664,-4.366293570748324,-4.049509957914218,-4.0671689457530755,-3.738830057462669,53
-4.553630337695868,-3.545677618279269,-3.9583113891611297,-4.2897326415151555,-4.039380703541746,-3.943352346225508,-3.737591428419976,54
-4.556179368680725,-3.5516576831151667,-3.9544998097631296,-4.210894807323382,-4.0289502074035495,-3.815853468645076,-3.736315962825828,55
-4.558636376886347,-3.557421861133884,-3.9508258325094614,-4.134903104329867,-4.0188962634725085,-3.692957438630725,-3.7350865429209987,56
-4.560835721310105,-3.562581556064496,-3.9475371412599234,-4.066880568691476,-4.009896665721501,-3.5829493818014004,-3.7339860509462643,57
-4.562611760949375,-3.5667481716360774,-3.9448814198743136,-4.011950236565077,-4.002629208123408,-3.4941144237760446,-3.7330973691423988,58
-4.563798854801529,-3.569533111577705,-3.9431063522124288,-3.975235144107536,-3.9977716846511075,-3.434737690173606,-3.7325033797501783,59
