C1,C2,C3,C4,time
-3.3748949914849877,-4.374599457174845,-4.075483937936967,-3.9870352827841824,96
-3.3747387234907804,-4.36198613667812,-4.100765574174836,-4.010328497967701,97
-3.374610032201433,-4.351598696269052,-4.121585745194256,-4.029511145765893,98
-3.374522705969376,-4.344550075991471,-4.135713718386007,-4.042527942486094,99
-3.374490533147039,-4.341953215889204,-4.1409187611408615,-4.047323604435642,100
-3.37481416726746,-4.333171317456824,-4.1397359017234026,-4.050264872291304,101
-3.375692602737173,-4.309334735997507,-4.136525283304585,-4.058248313613815,102
-3.376987139218855,-4.274207142267987,-4.131793845634748,-4.070013385036462,103
-3.3785590763751836,-4.2315522070250005,-4.126048528464232,-4.084299543192533,104
-3.3802697138688353,-4.185133601025278,-4.119796271543377,-4.099846244715317,105
-3.381980351362487,-4.1387149950255555,-4.113544014622521,-4.115392946238101,106
-3.3835522885188154,-4.096060059782568,-4.107798697452005,-4.129679104394172,107
-3.384846825000498,-4.060932466053049,-4.1030672597821685,-4.141444175816819,108
-3.3857252604702106,-4.037095884593732,-4.099856641363351,-4.149427617139329,109
-3.3860488945906315,-4.028313986161352,-4.098673781945892,-4.152368884994991,110
-3.3906257946655107,-4.011879244293422,-4.091753211772528,-4.158889011170971,111
-3.403048809154468,-3.967270659223328,-4.072968807016257,-4.1765864965057755,112
-3.4213564094539834,-3.9015316917516096,-4.045286526322803,-4.202667001209695,113
-3.443587066960539,-3.8217058026788093,-4.011672328337896,-4.234336185493029,114
-3.467779253070613,-3.734836452805468,-3.975092171707262,-4.268799709566068,115
-3.4919714391806878,-3.6479671029321246,-3.9385120150766273,-4.303263233639106,116
-3.514202096687243,-3.5681412138593247,-3.9048978170917197,-4.334932417922439,117
-3.532509696986758,-3.5024022463876068,-3.877215536398267,-4.36101292262636,118
-3.544932711475716,-3.457793661317513,-3.8584311316419955,-4.378710407961163,119
-3.5495096115505946,-3.4413589194495833,-3.8515105614686322,-4.385230534137143,120
-3.554154828563167,-3.451576109212586,-3.8583241104936334,-4.391045605357085,121
-3.5667632747401496,-3.479308481426449,-3.8768180292757797,-4.406829370096929,122
-3.585344142790439,-3.520177240478458,-3.9040722253757836,-4.430089654976697,123
-3.6079066254229337,-3.5698035907558974,-3.937166606354361,-4.458334286616417,124
-3.632459915346531,-3.6238087366460516,-3.973181079772224,-4.489071091636111,125
-3.657013205270128,-3.6778138825362072,-4.009195553190088,-4.519807896655806,126
-3.6795756879026227,-3.7274402328136462,-4.0422899341686644,-4.548052528295525,127
-3.6981565559529126,-3.7683089918656547,-4.069544130268668,-4.571312813175292,128
-3.710765002129895,-3.796041364079518,-4.088038049050814,-4.587096577915136,129
-3.715410219142467,-3.80625855384252,-4.094851598075815,-4.592911649135078,130
-3.7177570600669845,-3.7971924322806236,-4.089418273378899,-4.595200456393383,131
-3.7241270568621023,-3.7725843880411913,-4.0746706777729855,-4.601412933237354,132
-3.733514420560171,-3.736319901793607,-4.052937378985323,-4.610568162270573,133
-3.7449133621935404,-3.6922844542072553,-4.026546944743162,-4.621685226096625,134
-3.7573180927945593,-3.6443635259515186,-3.997827942773751,-4.633783207319094,135
-3.769722823395579,-3.5964425976957815,-3.9691089408043396,-4.645881188541562,136
-3.781121765028948,-3.5524071501094294,-3.942718506562179,-4.6569982523676146,137
-3.7905091287270163,-3.5161426638618454,-3.920985207774516,-4.666153481400833,138
-3.796879125522134,-3.491534619622413,-3.906237612168603,-4.672365958244804,139
-3.7992259664466514,-3.482468498060517,-3.9008042874716873,-4.674654765503109,140
-3.8036639872640596,-3.4774917544864565,-3.8857434119285275,-4.681017818970886,141
-3.815710043768454,-3.463983450499721,-3.844863892597095,-4.698288964097709,142
-3.8334621270380866,-3.4440764762034783,-3.7846203904244566,-4.723741177968817,143
-3.855018228151213,-3.419903721700899,-3.7114675663576837,-4.754647437669448,144
-3.8784763381860845,-3.39359807709515,-3.6318600813438415,-4.78828072028484,145
-3.901934448220957,-3.3672924324894016,-3.552252596329998,-4.8219140029002325,146
-3.9234905493340833,-3.3431196779868215,-3.4790997722632238,-4.852820262600863,147
-3.9412426326037155,-3.3232127036905794,-3.418856270090587,-4.87827247647197,148
-3.9532886891081094,-3.309704399703844,-3.3779767507591543,-4.895543621598794,149
-3.9577267099255176,-3.304727656129783,-3.3629158752159953,-4.90190667506657,150
-3.9609432409566234,-3.3067628428411617,-3.37048494640468,-4.906794954228136,151
-3.9696738251839125,-3.312286921057762,-3.391029568202539,-4.920063140523817,152
-3.9825399493083364,-3.320427667903277,-3.421305852957278,-4.939616257170082,153
-3.9981631000308524,-3.330312860501404,-3.458069913016604,-4.9633593273834045,154
-4.015164764052413,-3.3410702759758353,-3.4980778607282237,-4.989197374380256,155
-4.032166428073975,-3.3518276914502665,-3.5380858084398437,-5.015035421377107,156
-4.047789578796491,-3.3617128840483925,-3.57484986849917,-5.038778491590429,157
-4.060655702920915,-3.369853630893908,-3.6051261532539085,-5.058331608236694,158
-4.069386287148203,-3.375377709110508,-3.6256707750517676,-5.071599794532374,159
-4.072602818179309,-3.377412895821887,-3.633239846240452,-5.07648807369394,160
-4.075748842278956,-3.3802495364938148,-3.6363142940104485,-5.081685415855752,161
-4.084383674382243,-3.388035209827405,-3.6447526719323537,-5.095950461363703,162
-4.097302454195686,-3.399683542799364,-3.6573775319240407,-5.117292738751565,163
-4.113300321425807,-3.414108162386402,-3.673011425903384,-5.143721776553115,164
-4.131172415779121,-3.4302226955652273,-3.690476905788257,-5.173247103302128,165
-4.1497138769621476,-3.4469407693125476,-3.7085965234965346,-5.203878247532376,166
-4.167719844681405,-3.463176010605072,-3.726192830946088,-5.233624737777633,167
-4.18398545864341,-3.4778420464195072,-3.742088380054793,-5.2604961025716745,168
-4.197305858554682,-3.489852503732563,-3.7551057227405216,-5.2825018704482725,169
-4.206476184121739,-3.498121009520949,-3.76406741092115,-5.297651569941205,170
