C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,time
-3.9401013601278323,-5.016819268403106,-4.636476955375919,-3.8280776394868177,-3.869260836920045,-3.9006659772844614,-4.952657583381383,-3.829345504602557,-3.8589331652128642,-4.838094873913643,-3.885878276482165,-4.068819836854022,-4.0276171330919235,-4.0629857369926174,-3.9213052969085544,-3.930543888298024,-3.587743248526004,-4.084336985609432,24
-3.963487210461959,-5.29559380703858,-4.855499343315082,-3.8155638146940833,-3.829251552747322,-3.8744911192067537,-5.279344224413632,-3.81892654542859,-3.854946058567161,-5.167755772768649,-3.8706563933634532,-4.033071157473928,-3.967212750380038,-4.052438327809128,-3.8953156918422067,-3.8954955834135694,-3.5887837627231374,-4.040412955740803,25
-3.9868730607960865,-5.574368345674055,-5.074521731254246,-3.803049989901349,-3.789242268574598,-3.848316261129046,-5.6060308654458835,-3.808507586254623,-3.8509589519214575,-5.4974166716236565,-3.8554345102447414,-3.997322478093834,-3.9068083676681526,-4.041890918625639,-3.8693260867758594,-3.860447278529114,-3.5898242769202713,-3.9964889258721743,26
-4.008362761103122,-5.830539543339087,-5.2757855471983435,-3.7915507995512696,-3.7524769804158797,-3.824263688841423,-5.906229400448493,-3.7989334075542223,-3.8472951241929736,-5.800348308409339,-3.841446833865384,-3.9644723402850994,-3.8513016376085822,-4.032198704781352,-3.8454437469851626,-3.828240728094751,-3.5907804251014213,-3.9561263038307324,27
-4.026060161355975,-6.0415040590632305,-5.441532219152306,-3.7820808780864974,-3.7221996842851692,-3.8044556881339684,-6.153451723391816,-3.7910487898009495,-3.8442778542989275,-6.04982142105637,-3.829927570964737,-3.9374192856190815,-3.8055902128536423,-4.024216881615468,-3.8257759377457643,-3.8017176865605684,-3.591567841250603,-3.922886497443662,28
-4.0380691115275535,-6.184658551876042,-5.554003175121066,-3.7756548599496877,-3.701654376196474,-3.7910145447967674,-6.321209728246216,-3.785698513468372,-3.8422304211565397,-6.219106747495429,-3.822110928282155,-3.9190618556671417,-3.774571746055647,-4.01880064446719,-3.8124299243333164,-3.7837199083766597,-3.592102159351834,-3.90033091453815,29
-4.042493461590767,-6.237399680807078,-5.595439843109556,-3.773287379583495,-3.6940850521637962,-3.786062544619904,-6.383015308982047,-3.783727359030054,-3.841476103683028,-6.281475025657187,-3.8192311125569933,-3.9122985920006377,-3.763143889866912,-4.016805188675719,-3.8075129720234666,-3.777089147993114,-3.5922990133891295,-3.8920209629413827,30
-4.0382934970679925,-6.1653057048407325,-5.5451105311985955,-3.7696380069629147,-3.76079278393226,-3.845284619445655,-6.304068533116394,-3.844816272610936,-3.835076981558941,-6.2085295769073605,-3.81148425158875,-3.9060739159990603,-3.8200354534534715,-4.077513553236337,-3.865147432065087,-3.829592297257717,-3.59215467693814,-3.9467020639346915,31
-4.026893593363317,-5.96962205578922,-5.408502398868847,-3.7597325669927684,-3.9418566273038023,-4.0060302511155506,-6.089784427195331,-4.0106290380447565,-3.817707935793563,-6.010534787443547,-3.790457057532088,-3.8891783668519215,-3.974455411759847,-4.242293399900871,-4.021583823606627,-3.9721008452616378,-3.591762906571168,-4.095122195202244,32
-4.010093735272218,-5.681246151923833,-5.207185151225005,-3.7451350765104476,-4.208687554377655,-4.242918550418555,-5.773997323732713,-4.254984692368282,-3.7921114472972155,-5.718752992444242,-3.759469613659114,-3.864279662845612,-4.202021666106084,-4.485126858143342,-4.252121663773108,-4.182113442320048,-3.5911855607672094,-4.313846599175479,33
-3.989693907590169,-5.331075411515867,-4.96272849337177,-3.727409552353344,-4.532696537253049,-4.530568628143632,-5.390541555242394,-4.551702272618279,-3.7610299969802234,-5.364446527087944,-3.721842003241931,-3.8340455222665226,-4.47835211781223,-4.7799960574377724,-4.53206046968955,-4.437128738748119,-3.59048449800526,-4.5794405182858355,34
-3.9674940951126447,-4.950007252836608,-4.696702130413838,-3.7081200113588486,-4.88529454802921,-4.843599595079743,-4.9732514542382225,-4.874600815831507,-3.727206065752908,-4.97887772655315,-3.680894309552643,-3.8011436634010423,-4.779064668198329,-5.100883127258179,-4.83669975848097,-4.714645384861017,-3.589721576764315,-4.868469194964752,35
