C1,C2,C3,C4,C5,C6,C7,C8,C9,time
-4.4388908771442,-4.127931311495536,-3.8859270303355338,-3.5761931808627736,-3.592132987057149,-3.5203816941793207,-3.664126793532037,-3.8951003299960245,-4.1817577019653855,91
-4.431672256803648,-4.139558023613525,-3.9016410965610877,-3.574295441076128,-3.5962853253297156,-3.5370299139761636,-3.675749516353653,-3.908368301313578,-4.198593049092648,92
-4.421034289985994,-4.15669212568214,-3.9247986678408506,-3.5714987719168594,-3.6024045606787602,-3.5615641326241425,-3.692877739459192,-3.927921101149971,-4.223403034332822,93
-4.408116758850272,-4.177497821051173,-3.9529185758234204,-3.5681028165091773,-3.609835060745458,-3.5913556838395464,-3.7136762960873466,-3.951663786665593,-4.253529444981608,94
-4.394059445555515,-4.200139313070413,-3.9835196521573923,-3.5644072179772874,-3.6179211931709823,-3.623775901338661,-3.736310019476808,-3.977501415020827,-4.286314068334697,95
-4.380002132260758,-4.222780805089655,-4.014120728491365,-3.560711619445398,-3.6260073255965066,-3.6561961188377765,-3.758943742866271,-4.003339043376062,-4.3190986916877865,96
-4.367084601125034,-4.243586500458687,-4.042240636473935,-3.557315664037715,-3.6334378256632043,-3.68598767005318,-3.7797422994944254,-4.027081728891683,-4.349225102336572,97
-4.356446634307381,-4.260720602527301,-4.065398207753698,-3.554518994878447,-3.6395570610122494,-3.7105218887011584,-3.7968705225999644,-4.046634528728077,-4.374035087576748,98
-4.34922801396683,-4.27234731464529,-4.081112273979251,-3.5526212550918013,-3.6437093992848157,-3.7271701084980013,-3.8084932454215803,-4.05990250004563,-4.390870434704009,99
-4.346568522262416,-4.2766308401624435,-4.086901666799192,-3.551922087801984,-3.645239208122077,-3.733303663159996,-3.8127753011979646,-4.064790700004728,-4.397072931014054,100
-4.33754666715737,-4.278711451399063,-4.088196150118451,-3.551275354360544,-3.6474691468504794,-3.7356777467585283,-3.816374029361132,-4.067751233333519,-4.399784195866554,101
-4.313058774729387,-4.284358824755603,-4.091709747699295,-3.5495199350194917,-3.653521837684714,-3.742121687954545,-3.826142005804014,-4.075786966654523,-4.407143343323342,102
-4.2769713543092,-4.292681269702081,-4.096887680976328,-3.5469330012537292,-3.6624415925983222,-3.7516180223486733,-3.840536918456682,-4.087629099969684,-4.417988402733343,103
-4.233150915227548,-4.302787095708521,-4.103175171384157,-3.5437917245381625,-3.6732727235648475,-3.7631492855415445,-3.858016455249208,-4.102008833280953,-4.431157403445488,104
-4.18546396681516,-4.313784612244939,-4.11001744035738,-3.540373276347691,-3.68505954255783,-3.7756980131337863,-3.8770383041116627,-4.117657366590274,-4.445488374808705,105
-4.1377770184027725,-4.324782128781358,-4.116859709330604,-3.5369548281572207,-3.696846361550813,-3.7882467407260285,-3.8960601529741172,-4.133305899899596,-4.459819346171922,106
-4.093956579321119,-4.334887954787797,-4.123147199738431,-3.533813551441653,-3.707677492517338,-3.7997780039188997,-3.913539689766644,-4.147685633210864,-4.472988346884067,107
-4.0578691589009335,-4.343210399734276,-4.128325133015465,-3.531226617675891,-3.7165972474309465,-3.809274338313028,-3.9279346024193114,-4.159527766526026,-4.483833406294068,108
-4.033381266472951,-4.348857773090815,-4.13183873059631,-3.5294711983348384,-3.7226499382651808,-3.8157182795090443,-3.937702578862194,-4.16756349984703,-4.491192553750857,109
-4.024359411367905,-4.350938384327435,-4.133133213915568,-3.528824464893398,-3.724879876993583,-3.8180923631075765,-3.941301307025361,-4.17052403317582,-4.493903818603356,110
-4.007742298708197,-4.348674484988508,-4.130527746639219,-3.533825875194125,-3.732417269836792,-3.8246146696409817,-3.9476944275625923,-4.177318735971196,-4.499856513970579,111
-3.962638707203279,-4.342529615354279,-4.123455764031985,-3.547401131724671,-3.7528759075540727,-3.842318073088797,-3.965047183306507,-4.195761500701501,-4.5160138299673305,112
-3.8961702565644516,-4.333474017998573,-4.113033894926588,-3.5674067729275785,-3.7830254789269073,-3.8684072992224183,-3.9906196654554327,-4.2229403118830025,-4.539824611436224,113
-3.8154585665030196,-4.3224779354952165,-4.100378768155749,-3.5916993372453963,-3.819635672736778,-3.9000870738132445,-4.021671965207701,-4.25594315403197,-4.568737703219883,114
-3.727625256730284,-4.3105116104180325,-4.086607012552188,-3.618135363120668,-3.859476177765166,-3.9345621226326726,-4.055464173761639,-4.291858011664669,-4.600201950160921,115
-3.639791946957547,-4.2985452853408495,-4.072835256948627,-3.6445713889959404,-3.8993166827935553,-3.9690371714521016,-4.089256382315577,-4.327772869297369,-4.631666197101961,116
-3.559080256896115,-4.287549202837493,-4.0601801301777884,-3.6688639533137577,-3.935926876603426,-4.000716946042928,-4.1203086820678445,-4.360775711446335,-4.660579288885619,117
-3.4926118062572877,-4.278493605481787,-4.049758261072391,-3.6888695945166656,-3.9660764479762607,-4.026806172176549,-4.145881164216771,-4.387954522627838,-4.684390070354513,118
-3.4475082147523697,-4.272348735847557,-4.042686278465157,-3.7024448510472108,-3.986535085693541,-4.044509575624364,-4.1632339199606845,-4.406397287358142,-4.700547386351262,119
-3.430891102092663,-4.270084836508631,-4.040080811188808,-3.7074462613479375,-3.9940724785367494,-4.051031882157769,-4.169627040497916,-4.413191990153518,-4.706500081718486,120
-3.441145741266984,-4.276514917532819,-4.053963188178526,-3.7116915195264264,-3.996757514554422,-4.0578756531065565,-4.176374314370905,-4.418822899885669,-4.708618247671078,121
-3.4689797618829976,-4.293967994598475,-4.091643925722045,-3.7232143631537546,-4.004045469459534,-4.0764516028246955,-4.194688343454733,-4.43410679773008,-4.7143675552566835,122
-3.5099983185802808,-4.31968831869523,-4.147173433680915,-3.7401953958677105,-4.014785613530224,-4.103826686619847,-4.2216774389466885,-4.456630436658685,-4.722840219067049,123
-3.5598065659984104,-4.350920140812719,-4.214602121916686,-3.7608152213060873,-4.027827217044634,-4.137067859799673,-4.254449912044064,-4.48398056964342,-4.733128453693922,124
-3.6140096587769626,-4.384907711940574,-4.287980400290905,-3.7832544431066726,-4.042019550280903,-4.173242077671837,-4.290114073944148,-4.51374394965622,-4.744324473729049,125
-3.668212751555516,-4.41889528306843,-4.361358678665128,-3.805693664907258,-4.056211883517173,-4.209416295544002,-4.325778235844234,-4.54350732966902,-4.755520493764175,126
-3.7180209989736452,-4.450127105185919,-4.428787366900898,-3.826313490345634,-4.069253487031583,-4.242657468723829,-4.358550708941609,-4.570857462653755,-4.765808728391049,127
-3.759039555670928,-4.475847429282673,-4.4843168748597675,-3.8432945230595905,-4.0799936311022735,-4.2700325525189795,-4.385539804433564,-4.593381101582359,-4.774281392201415,128
-3.786873576286941,-4.493300506348329,-4.521997612403286,-3.854817366686918,-4.087281586007385,-4.288608502237118,-4.403853833517391,-4.608664999426771,-4.7800306997870194,129
