C1,C2,C3,C4,C5,C6,C7,C8,time
-3.0674767937977134,-3.4829549964715723,-3.8227960689175693,-3.8238120234334145,-3.691730267350298,-3.7917823806895132,-3.876055815691464,-4.2781068367616815,109
-3.068477943794418,-3.472066925230797,-3.8144003750475184,-3.8154611513882104,-3.693980472740121,-3.7923203491075554,-3.8817981785393694,-4.281917108870627,110
-3.0716008162553337,-3.4705150997491323,-3.8129404186959173,-3.8159080432772225,-3.6969360267493605,-3.8007398538607022,-3.885236042144784,-4.286372871171283,111
-3.0800771843635335,-3.466303002013185,-3.808977680027286,-3.8171210355474003,-3.7049582447744394,-3.8235927953335307,-3.894567386216623,-4.298467083130206,112
-3.0925686742071954,-3.4600957000865247,-3.803137854620881,-3.81890860310345,-3.716780460811397,-3.8572708143461183,-3.90831884063828,-4.316290132332829,113
-3.1077369118745004,-3.452558262032724,-3.7960466380559623,-3.8210792208500832,-3.731136008856275,-3.8981655517185474,-3.92501703529315,-4.337932406364587,114
-3.124243523453625,-3.4443557559153524,-3.788329725911785,-3.823441363692007,-3.746758222905112,-3.942668648270896,-3.9431886000646257,-4.36148429281091,115
-3.140750135032751,-3.4361532497979805,-3.780612813767607,-3.8258035065339304,-3.762380436953949,-3.9871717448232453,-3.961360164836102,-4.385036179257233,116
-3.1559183727000555,-3.42861581174418,-3.773521597202688,-3.8279741242805634,-3.7767359849988265,-4.028066482195674,-3.978058359490972,-4.406678453288991,117
-3.168409862543718,-3.42240850981752,-3.767681771796284,-3.8297616918366137,-3.7885582010357846,-4.061744501208262,-3.991809813912629,-4.424501502491614,118
-3.1768862306519168,-3.418196412081573,-3.763719033127652,-3.8309746841067907,-3.796580419060863,-4.08459744268109,-4.001141157984468,-4.436595714450537,119
-3.1800091031128326,-3.416644586599908,-3.762259076776051,-3.8314215759958032,-3.7995359730701024,-4.093016947434236,-4.004579021589882,-4.441051476751192,120
-3.179976236377641,-3.4136673823639776,-3.760935625509723,-3.828414179222668,-3.8015790227589763,-4.091672914419986,-4.009231179707475,-4.443453537623386,121
-3.1798870266678363,-3.4055863994378814,-3.757343400643975,-3.8202512451241586,-3.807124443343062,-4.088024824809878,-4.021858466026655,-4.449973417133625,122
-3.17975555972707,-3.39367758249416,-3.752049595578662,-3.8082216580316173,-3.815296642098556,-4.082648692752876,-4.040467098497026,-4.4595816606223995,123
-3.1795959212989984,-3.379216876205356,-3.74562140371364,-3.79361430227639,-3.8252200263016576,-4.0761205323979475,-4.063063295068192,-4.471248813430197,124
-3.1794221971272725,-3.3634802252440092,-3.738626018448762,-3.7777180621898183,-3.8360190032285617,-4.069016357894052,-4.087653273689753,-4.4839454208975065,125
-3.179248472955547,-3.3477435742826636,-3.731630633183884,-3.7618218221032462,-3.8468179801554654,-4.061912183390158,-4.112243252311314,-4.496642028364816,126
-3.1790888345274744,-3.333282867993859,-3.7252024413188622,-3.747214466348019,-3.8567413643585664,-4.055384023035227,-4.13483944888248,-4.5083091811726135,127
-3.178957367586709,-3.321374051050138,-3.7199086362535487,-3.735184879255478,-3.864913563114061,-4.050007890978226,-4.153448081352851,-4.517917424661388,128
-3.1788681578769036,-3.3132930681240413,-3.7163164113878016,-3.7270219451569684,-3.870458983698147,-4.046359801368118,-4.166075367672031,-4.524437304171627,129
-3.1788352911417124,-3.310315863888111,-3.714992960121473,-3.7240145483838334,-3.8725020333870206,-4.045015768353868,-4.170727525789624,-4.526839365043821,130
-3.1805743974229586,-3.311065261832994,-3.715805284460923,-3.7239269879646444,-3.8760913347056887,-4.046137673063362,-4.1738491181531705,-4.532469466400799,131
-3.1852948287577707,-3.313099341969106,-3.7180101648108588,-3.7236893239697033,-3.885833723999217,-4.049182842989134,-4.1823220117113715,-4.547751170084025,132
-3.1922512538827563,-3.3160969337486383,-3.721259462168658,-3.7233390822929473,-3.900190929273889,-4.053670461827111,-4.19480838116556,-4.570271575511938,133
-3.200698341534525,-3.3197368666237854,-3.7252050375317003,-3.7229137888283166,-3.917624678535992,-4.059119713273228,-4.209970401217076,-4.597617782102975,134
-3.209890760449685,-3.323697970046739,-3.7294987518973644,-3.722450969469746,-3.936596699791809,-4.065049781023413,-4.226470246567255,-4.627376889275573,135
-3.2190831793648447,-3.327659073469693,-3.7337924662630275,-3.7219881501111765,-3.9555687210476265,-4.070979848773598,-4.242970091917433,-4.657135996448172,136
-3.2275302670166135,-3.3312990063448398,-3.7377380416260704,-3.7215628566465444,-3.973002470309729,-4.076429100219714,-4.258132111968949,-4.684482203039209,137
-3.234486692141599,-3.3342965981243724,-3.74098733898387,-3.7212126149697893,-3.9873596755844014,-4.080916719057693,-4.270618481423138,-4.707002608467121,138
-3.2392071234764113,-3.3363306782604845,-3.7431922193338054,-3.7209749509748478,-3.997102064877929,-4.083961888983463,-4.279091374981337,-4.7222843121503475,139
-3.2409462297576574,-3.337080076205367,-3.744004543673255,-3.7208873905556588,-4.000691366196597,-4.085083793692958,-4.2822129673448845,-4.727914413507325,140
-3.244106414669288,-3.339343704806326,-3.747115572157775,-3.7238965482105804,-4.006884426689272,-4.0930601203695645,-4.28880584862168,-4.734553691339228,141
-3.2526840594294284,-3.345487839580358,-3.755559792330042,-3.732064261845368,-4.023694162312244,-4.114710149920354,-4.306700812087266,-4.752574588311536,142
-3.26532479907595,-3.3545423539841934,-3.76800390626812,-3.744100892465053,-4.04846640428294,-4.14661545662678,-4.333072337194446,-4.779131699639146,143
-3.2806742686467274,-3.365537121474566,-3.783114616050072,-3.758716801074672,-4.078546983818786,-4.1853576147702976,-4.365094903396022,-4.811379620536959,144
-3.297378103179631,-3.377502015508206,-3.7995586237539607,-3.774622348679257,-4.111281732137206,-4.22751819863236,-4.399942990144796,-4.846472946219874,145
-3.314081937712536,-3.389466909541847,-3.8160026314578497,-3.7905278962838427,-4.144016480455627,-4.269678782494425,-4.43479107689357,-4.881566271902789,146
-3.3294314072833124,-3.4004616770322187,-3.8311133412398015,-3.805143804893461,-4.174097059991472,-4.308420940637943,-4.466813643095146,-4.9138141928006025,147
-3.3420721469298345,-3.4095161914360546,-3.8435574551778795,-3.817180435513147,-4.198869301962168,-4.340326247344368,-4.493185168202325,-4.940371304128212,148
-3.3506497916899742,-3.4156603262100864,-3.852001675350147,-3.825348149147934,-4.215679037585141,-4.361976276895157,-4.511080131667912,-4.958392201100519,149
-3.353809976601605,-3.417923954811045,-3.855112703834666,-3.8283573068028556,-4.221872098077815,-4.369952603571764,-4.517673012944707,-4.965031478932422,150
-3.3558618129951787,-3.4193337286886876,-3.855085425384472,-3.8303496866103464,-4.222855155597594,-4.372858284833825,-4.5213523050578415,-4.969054043066861,151
-3.361431083206308,-3.423160257785146,-3.855011383876803,-3.835757574659251,-4.225523454579854,-4.380745133973709,-4.5313389550792085,-4.979972431431767,152
-3.3696384287806023,-3.428799353295716,-3.8549022700760265,-3.843727093889214,-4.229455684658974,-4.392367859021956,-4.5460561235317485,-4.996062687969521,153
-3.3796044912636756,-3.435646826415695,-3.8547697747465133,-3.853404367239885,-4.234230535469333,-4.4064811680091145,-4.563926970938406,-5.015600856622509,154
-3.390449912201137,-3.443098488340377,-3.854625588652631,-3.863935517650908,-4.239426696645312,-4.421839768965727,-4.5833746578221195,-5.036862981333114,155
-3.401295333138598,-3.4505501502650593,-3.854481402558749,-3.874466668061932,-4.244622857821291,-4.43719836992234,-4.602822344705834,-5.058125106043718,156
-3.411261395621671,-3.457397623385038,-3.854348907229235,-3.884143941412602,-4.24939770863165,-4.451311678909498,-4.6206931921124905,-5.0776632746967065,157
-3.4194687411959666,-3.463036718895608,-3.8542397934284596,-3.8921134606425656,-4.2533299387107695,-4.462934403957745,-4.6354103605650305,-5.093753531234461,158
-3.425038011407095,-3.466863247992067,-3.8541657519207897,-3.8975213486914697,-4.25599823769303,-4.470821253097628,-4.645397010586398,-5.104671919599366,159
-3.427089847800669,-3.468273021869709,-3.854138473470596,-3.8995137284989605,-4.256981295212809,-4.47372693435969,-4.649076302699533,-5.108694483733805,160
-3.4289670437969075,-3.467838495819302,-3.8552547535348403,-3.8979576996022414,-4.259835501272179,-4.47705828556816,-4.654544709864912,-5.111566460310452,161
-3.4341193477014773,-3.4666458604894625,-3.8583185860515963,-3.8936868968857143,-4.267669385988323,-4.486201781438215,-4.669553742297549,-5.119449119425082,162
-3.441827833388159,-3.4648615301122603,-3.8629024595068975,-3.887297246309825,-4.279389849168288,-4.499881585336825,-4.6920091164021915,-5.131242555154721,163
-3.4513735747307335,-3.4626519189197675,-3.868578862386779,-3.87938467383502,-4.293903790619126,-4.516821860630959,-4.719816548583589,-5.145846861576396,164
-3.4620376456029827,-3.460183441144053,-3.8749202831772736,-3.870545105421743,-4.3101181101478865,-4.535746770687584,-4.75088175524649,-5.162162132767138,165
-3.4731011198786863,-3.4576225110171888,-3.8814992103644164,-3.86137446703044,-4.32693970756162,-4.555380478873672,-4.783110452795642,-5.179088462803977,166
-3.483845071431627,-3.4551355427712447,-3.8878881324342403,-3.852468684621559,-4.343275482667376,-4.574447148556191,-4.8144083576357914,-5.195525945763937,167
-3.4935505741355835,-3.4528889506382923,-3.8936595378727805,-3.8444236841555437,-4.358032335272203,-4.591670943102109,-4.842681186171689,-5.210374675724048,168
-3.501498701864338,-3.4510491488504007,-3.8983859151660707,-3.8378353915928387,-4.370117165183152,-4.605776025878394,-4.865834654808081,-5.222534746761339,169
-3.506970528491672,-3.4497825516396423,-3.901639752800145,-3.8332997328938916,-4.378436872207272,-4.61548656025202,-4.88177447994972,-5.230906252952841,170
