C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,time
-4.560200961514117,-2.9585233285251586,-4.850760854694202,-4.839400822918438,-2.802002771377242,-4.571259403427242,-3.2060629894257366,-3.6545799802319725,-3.4975666235585776,-3.210767035924316,48
-4.511156714751241,-2.9274939711237127,-4.916160256961645,-4.688673421774227,-2.8160332149373786,-4.398731310673011,-3.2123699683521747,-3.6504319707694917,-3.5259755546032148,-3.2145674549881402,49
-4.464545131988009,-2.8942389386967484,-4.923117681344113,-4.5699544081851755,-2.820106908916147,-4.284143238956985,-3.215517689985729,-3.646452047350908,-3.54446752606027,-3.2156830198841546,50
-4.423455561701161,-2.860444849677988,-4.851112886163599,-4.4781489807973855,-2.8201584798052477,-4.23308616442843,-3.21904247426741,-3.645370106115223,-3.5570943432100894,-3.2173753850805373,51
-4.390444675269041,-2.8293866075896883,-4.700479060258015,-4.400585923931561,-2.8249990377600582,-4.233557545601611,-3.2273789736450045,-3.649901769515004,-3.5706637412410993,-3.2237263675086614,52
-4.363903103470331,-2.8011922429719713,-4.491182073551467,-4.335389930493625,-2.833626144818249,-4.273736151108089,-3.239492871986711,-3.6588694354443754,-3.584915623198195,-3.233777488001736,53
-4.342221477083713,-2.775989786364957,-4.243187795968063,-4.2806856933895,-2.8450373630174903,-4.341800749579432,-3.2543498531607304,-3.671095501797465,-3.599589892126273,-3.2465702673929684,54
-4.323790426887871,-2.7539072683087666,-3.9764620974319063,-4.234597905525105,-2.8582302543954494,-4.425930109647201,-3.2709156010352594,-3.6854023664683964,-3.6144264510702255,-3.261146226515566,55
-4.307000583661488,-2.73507271934352,-3.7109708478671,-4.195251259806366,-2.872202380989798,-4.514302999942962,-3.288155799478498,-3.7006124273512944,-3.6291652030749497,-3.2765468862027376,56
-4.290242578183247,-2.7196141700093377,-3.4666799171977485,-4.160770449139201,-2.8859513048382053,-4.595098189098281,-3.3050361323586452,-3.7155480823402853,-3.6435460511853406,-3.2918137672876915,57
