C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,time
-3.7230792422971426,-3.6349845595958135,-3.6293843899963054,-3.541971874432876,-4.880857086376636,-3.7020471509540576,-4.316859418823177,-3.8205609208886164,-5.294613815143783,-3.7063934643244494,-3.3019321284739283,-3.898282798482731,-3.9160333228944313,-3.8676399772374674,-3.8134120928810664,-3.980363160425748,-4.468657654986522,-4.995601701449667,-3.711007421029948,-3.85123998737628,-3.5393257793252335,-5.130359197110823,-4.079478984497722,-3.9232357311489894,-5.654195359153592,26
-3.7214752167785785,-3.619167397503924,-3.59690559838533,-3.521004627484203,-5.127646637722039,-3.6684832209925355,-4.40195807038555,-3.808380568431911,-5.527682741290869,-3.6943167324321102,-3.2995647003424624,-3.887905557809854,-3.898630572362668,-3.8541771107610048,-3.7715526424289347,-4.011717097955454,-4.566232174230709,-5.186421012419709,-3.6921213107888704,-3.832570184544752,-3.540887430912797,-5.35579182888849,-3.9658289373096607,-3.8872648399728975,-5.925914444678175,27
-3.7201542545868196,-3.606141499310603,-3.5701583582351155,-3.503737482938236,-5.330885091771191,-3.6408423374948113,-4.47203931284868,-3.7983496899381533,-5.7196218569414095,-3.684371188520771,-3.29761505364596,-3.8793595949027777,-3.8842988954541573,-3.8430900442509768,-3.7370801538212977,-4.0375379876858,-4.646587660667098,-5.343566327336212,-3.676568043531512,-3.8171950528011402,-3.5421734969260843,-5.54144223152892,-3.8722347808018447,-3.8576417531219973,-6.1496831033454775,28
-3.719257887385269,-3.5973024969651353,-3.552008445276041,-3.4920204919963305,-5.468796899875975,-3.6220860236927845,-4.519594441662948,-3.791543022388818,-5.849866256847134,-3.6776224265809345,-3.296292079101906,-3.873560548644405,-3.8745738289805254,-3.8355666776906006,-3.7136881079804005,-4.055059305717106,-4.701114597891792,-5.450200648172412,-3.666014040749733,-3.8067619276894042,-3.543046184577958,-5.667419290463498,-3.8087244603143984,-3.8375403727588866,-6.301526121726863,29
-3.7189276468373293,-3.5940460224168054,-3.5453216352384875,-3.487703705859839,-5.519606513388263,-3.6151758028183534,-4.537114752278731,-3.7890353027653787,-5.897851035759769,-3.6751360406030997,-3.2958046674277806,-3.871424057917636,-3.870990909753398,-3.8327949110630937,-3.7050699858284912,-4.061514528149693,-4.721203469500889,-5.489486976901538,-3.6621257239353935,-3.802918144753501,-3.54336770108128,-5.713831891123606,-3.7853259211874444,-3.830134601046162,-6.357468286393688,30
-3.7211486477169924,-3.5863392339718625,-3.5854899346257185,-3.484447531101635,-5.463039183395696,-3.664794499458817,-4.513989277507391,-3.8144399482530935,-5.8329215861079975,-3.6783970135347306,-3.301031129835306,-3.9291557844359977,-3.862180758461779,-3.826525097499902,-3.694357520787856,-4.051262670251885,-4.6863359257363655,-5.488575486319858,-3.708823042465095,-3.796406936377132,-3.542761046906478,-5.651982041639217,-3.7802574332318692,-3.883642958800937,-6.281369617374785,31
-3.7271770786760774,-3.5654208081927323,-3.6945181758196313,-3.4756093424722243,-5.309499287701583,-3.799473818911503,-4.4512201316994675,-3.8833954145768916,-5.656684508481762,-3.687248225777728,-3.3152172420843034,-4.085856184985835,-3.838267490670242,-3.809507032114096,-3.6652808299632746,-4.023436198814978,-4.59169544980409,-5.4861014404552995,-3.8355729070457136,-3.7787336564984138,-3.5411144141463002,-5.484103878753018,-3.766500108781022,-4.0288799298496105,-6.074816087180619,32
-3.7360610821947295,-3.5345936544129612,-3.855191373368555,-3.462584643439409,-5.083229967731313,-3.997948605473356,-4.358718232614107,-3.9850139965277522,-5.396966709874675,-3.7002921175042514,-3.3361230917144047,-4.31678309105928,-3.8030268855037668,-3.7844277778613282,-3.6224309698007335,-3.9824287672237464,-4.452225274745999,-5.482455478128581,-4.02236218116452,-3.752688822992935,-3.5386877974470905,-5.236704480815462,-3.7462261569587216,-4.24291336086871,-5.770421411105007,33
-3.746848800753093,-3.497160681966097,-4.05029454182082,-3.446768937470991,-4.808474364910272,-4.238953703441322,-4.246394498010456,-4.108407988896654,-5.08159509728036,-3.716131128886458,-3.361508766265243,-4.597194334148464,-3.7602347220873327,-3.753974397697254,-3.5703989967462197,-3.9326340288629655,-4.282868633604032,-5.478028238160423,-4.249177728308786,-3.7210629537362836,-3.5357411914551937,-4.936290926177001,-3.7216077868887854,-4.502811098534759,-5.4007993044417635,34
-3.7585883768313115,-3.456424800185686,-4.262612695724755,-3.4295577280347707,-4.509475620663845,-4.501223957112341,-4.12415984564766,-4.242689686474575,-4.738396577692427,-3.7333677000965064,-3.3891343532764484,-4.902347745745516,-3.713666779545919,-3.720833954577526,-3.513775967245719,-3.8784456371174096,-4.098568759420126,-5.473210359371546,-4.496006411965779,-3.686646566604044,-3.5325345908169528,-4.609370293188089,-3.694817207695031,-4.785640989524281,-4.998563482484705,35
