C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,time
-3.988296583196374,-3.4789077986204315,-3.875587241003302,-3.7682838837118693,-2.7264528254029097,-3.264041563263185,-3.729577410923295,-3.30545494706635,-2.928844052151815,-3.300899618158633,-3.2637307582010306,-3.3330493629135507,-3.181501132969598,-3.252739744256292,-3.500262694130398,-3.684468371778091,-3.7528278329520646,-3.4243968450975344,-3.7035556227457693,-2.9513424110624884,-3.041278263617359,-3.3724265286834525,-3.5426197050740322,-3.748972788370434,70
-3.9168794786093057,-3.479371782683152,-3.917000627784685,-3.7098603490301123,-2.7327275177545047,-3.2558504955293577,-3.8219828517122396,-3.279139561180098,-2.938760978178981,-3.3076436862197904,-3.2682898236758886,-3.3345758136504706,-3.188425392416192,-3.2602164155978164,-3.515169740460946,-3.6496526378625886,-3.7499211946859528,-3.429063746034336,-3.7108761390775045,-2.9571731094125067,-3.048789690355628,-3.3769627508742173,-3.5437917057840456,-3.765589745931051,71
-3.8394523361363646,-3.484639582260166,-3.9556743998841655,-3.6328028342772307,-2.7400272688281624,-3.2459949496909806,-3.941551696730891,-3.253418328609946,-2.9506506438621978,-3.3163899038788744,-3.273346173018951,-3.336858213066379,-3.1971099033202224,-3.2687062961814544,-3.533314916128909,-3.619385277158055,-3.7458240127179616,-3.434831885504763,-3.7211987213044098,-2.964435274923428,-3.0569821726024187,-3.384309276021268,-3.5492215795449757,-3.780916815886145,72
-3.7582565244146178,-3.493609615054991,-3.9903009070842166,-3.5418669319639315,-2.7483137144422343,-3.23494661298513,-4.078490419360971,-3.2285177471132327,-2.9642278567429425,-3.326975490197885,-3.2789955289615524,-3.3399244614925796,-3.207348437536343,-3.2783063863596134,-3.55401944212404,-3.5931476256805106,-3.7411164215878387,-3.441730468548485,-3.73404832135021,-2.9730347398139045,-3.0659951882697474,-3.393956192981627,-3.5582205748435074,-3.795597815163367,73
-3.6755334120811347,-3.5051802987711462,-4.019572499167315,-3.441808234600923,-2.757548490415069,-3.223177172648881,-4.223005492984198,-3.204664314447303,-2.979207424362692,-3.339237664238824,-3.2853336142350296,-3.343802459260377,-3.218934766919207,-3.2891136864847015,-3.5766045394360906,-3.570421019445975,-3.7363785558353326,-3.4497887002051724,-3.7489498911386288,-2.9828773363025882,-3.075968215269628,-3.4053935906123174,-3.5700999401663225,-3.8102765606903684,74
-3.593524367772981,-3.518250051112146,-4.042181525915932,-3.3373823346989107,-2.7676932325650148,-3.2111583159193064,-4.365303390982293,-3.182084528369496,-2.9953041542629215,-3.3530136450636916,-3.2924561515707182,-3.348520106701073,-3.2316626633234655,-3.301225196909124,-3.6003914290548136,-3.5506867944704674,-3.73219055000019,-3.4590357855144913,-3.7654283825933894,-2.993868896608128,-3.087040731514076,-3.418111557770359,-3.5841709240001034,-3.8255968693947993,75
-3.5144707601272245,-3.5317172897815103,-4.056820337112546,-3.2333448247686007,-2.778709576710423,-3.199361730033482,-4.495590586736976,-3.161004886637153,-3.01223285398511,-3.368140651734489,-3.3004588636999537,-3.3541053041459725,-3.2453258986037734,-3.3147379179852896,-3.6247013319699617,-3.5334262867700077,-3.72913253862216,-3.469500929516114,-3.7830087476382164,-3.0059152529491766,-3.099352214915106,-3.431600183312776,-3.599744774831534,-3.8422025582043107,76
-3.440613957780934,-3.544480432482754,-4.06218128253963,-3.134451297320702,-2.7905591586696428,-3.188259102228481,-4.604073553629966,-3.1416518870076158,-3.0297083310707333,-3.384455903313218,-3.309437473354072,-3.3605859519263785,-3.259718244614782,-3.3297488500656036,-3.648855469171285,-3.518120832360616,-3.7277846562409893,-3.481213337249707,-3.801215938196833,-3.0189222375443836,-3.113042143384733,-3.4453495560965894,-3.616132741147295,-3.8607374440465523,77
-3.3741953293711755,-3.5554378969193965,-4.056956711979657,-3.04545734486592,-2.803203614261022,-3.1783221197413782,-4.680958765042983,-3.1242520272382257,-3.047445393061268,-3.4017966188618782,-3.3194877032644077,-3.3679899503735946,-3.274633473211144,-3.346354993502475,-3.6721750616485394,-3.5042517672583102,-3.7287270373964265,-3.49420221375494,-3.8195749061929622,-3.032795682612402,-3.1282499948349707,-3.458849764978821,-3.6326460714340714,-3.8818453438491756,78
-3.3174562435350183,-3.5634881007949546,-4.039838975215103,-2.971118559914964,-2.816604579302912,-3.170022469809249,-4.7164526943577485,-3.109031805086324,-3.065158847498193,-3.4200000174424705,-3.3307052761622984,-3.376345199818925,-3.2898653562475135,-3.3646533486483086,-3.6939813303914746,-3.4913004274791115,-3.7325398166282193,-3.508496764071484,-3.83761060355033,-3.0474414203718805,-3.1451152471778347,-3.4715908988164927,-3.648596014178545,-3.9061700745398307,79
