C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,time
-4.328996414966549,-3.9482107686118497,-3.6742061045254633,-3.2480543337555297,-4.28899754623352,-3.241710907037491,-6.289322301765614,-4.705553875857626,-4.837017959364006,-3.419496706262251,-4.102407970858658,-3.507043409269439,-3.3215255641780255,-4.559287980360261,-4.000561162900805,24
-4.274634273104185,-3.881469239039625,-3.6070891381453762,-3.1716940518938843,-4.225723799494081,-3.162276081804092,-6.280654535438026,-4.681443507017329,-4.757184051290665,-3.3488132976577076,-4.055815020348366,-3.435143793483964,-3.247045352433688,-4.618979540449746,-3.9361891481230398,25
-4.231876469595765,-3.8271260099689948,-3.554530539211672,-3.110932624907944,-4.17261678396779,-3.09863080341304,-6.274935019023974,-4.6701817478652705,-4.679864054143001,-3.292770260819351,-4.022502178193592,-3.377803094313527,-3.1878584989720204,-4.665501146582409,-3.8840031309016942,26
-4.1999509606477545,-3.784392972131853,-3.5155584953829253,-3.0647371122876814,-4.129017401864501,-3.0497517021026153,-6.2715974589494605,-4.670526694532914,-4.605074553592363,-3.2503997361348795,-4.00137986234819,-3.334066338801544,-3.1429540829469467,-4.6997270621270255,-3.8431184460113057,27
-4.178085702466622,-3.7524820162600943,-3.489201194317708,-3.0320745735230643,-4.094266555394071,-3.014615408111094,-6.270075561640483,-4.681236443151724,-4.532832135310096,-3.2207338639919856,-3.991358490766012,-3.3029785539914274,-3.111321183512386,-4.722531550452366,-3.812650428226406,28
-4.16550865125883,-3.7306050330856086,-3.4744868236745936,-3.0119120681040648,-4.067705146766356,-2.9921985516767515,-6.269803033523041,-4.701069089853167,-4.463153384967544,-3.2028047847783654,-3.9913484814009084,-3.283584766926588,-3.0919488798222585,-4.734788874927207,-3.7917144123215314,29
-4.161447763230848,-3.7179739133402907,-3.470443571112153,-3.003216655520652,-4.048674078191208,-2.9814777630378666,-6.270213581023135,-4.728782730768708,-4.396054888236057,-3.195644638881714,-4.00026025220673,-3.27493000465044,-3.0838262510304855,-4.7373732989203194,-3.779425733071216,30
-4.165130994589142,-3.713800547756033,-3.47609962428896,-3.0049553952627988,-4.036514251878488,-2.9814296724327174,-6.270740910566766,-4.763135462029811,-4.331553230786975,-3.1982855666897274,-4.017004221137329,-3.2760592942063953,-3.0859423762909888,-4.731159085800477,-3.7748997252499947,31
-4.175786301540176,-3.717296827064729,-3.490483170863587,-3.0160953468204736,-4.030566570038048,-2.99103091009958,-6.270818728579932,-4.802885379767941,-4.2696649982916455,-3.2097597085900995,-4.0404908061465585,-3.286017662637867,-3.0972863347576878,-4.717020498936454,-3.7772517236324026,32
-4.19264164029042,-3.727674641998272,-3.5126223984946074,-3.0356035696836488,-4.030171934879745,-3.0092581062767327,-6.269880741488635,-4.846790580114567,-4.210406776421418,-3.229099204970527,-4.069630425188269,-3.3038501369882693,-3.116847205584505,-4.695831801697024,-3.7855970629929754,33
-4.214924967046337,-3.744145883288555,-3.541545494840592,-3.062447123342293,-4.034671248613433,-3.0350878912024517,-6.267360655718872,-4.8936091592011515,-4.153795150847632,-3.2553361962187033,-4.10333349621631,-3.3286017443010123,-3.1436140679253595,-4.66846725745096,-3.7990510781062463,34
-4.241864238014394,-3.7659224416674695,-3.576280647560113,-3.0955930672863774,-4.043405413448969,-3.0674968951150143,-6.262692177696644,-4.942099213159157,-4.099846707241636,-3.287502822722325,-4.1405104371845365,-3.3593175116195093,-3.176576000934173,-4.635801129567036,-3.8167291037467495,35
-4.272687409401057,-3.79221620786691,-3.615856044311746,-3.134008461005873,-4.055715331596209,-3.1054617482526985,-6.255309013847952,-4.991018838120052,-4.0485780312747774,-3.324631224869086,-4.180071666046798,-3.395042465987174,-3.214722083764866,-4.598707681414023,-3.837746474689021,36
-4.306622437412795,-3.8222390726187703,-3.6592998727540604,-3.1766603639907505,-4.070941905265006,-3.1479590808537816,-6.244644870598792,-5.039126130215303,-4.000005708618399,-3.3657535430466834,-4.220927600756947,-3.4348216344474185,-3.2570413955713606,-4.558061176360697,-3.8612185257075953,37
-4.342897278256071,-3.8552029266549406,-3.7056403205456308,-3.222515835730979,-4.0884260366652185,-3.1939655231565407,-6.230133454375168,-5.085179185576372,-3.954146324943849,-3.409901917642811,-4.261988659268836,-3.4777000440436554,-3.302523015507575,-4.5147358777758315,-3.886260591577006,38
-4.380739888137352,-3.890319660707316,-3.7539055753450286,-3.270541935716531,-4.1075086280067,-3.2424577053992523,-6.2112084716030775,-5.1279361003347255,-3.911016465922471,-3.4561084890451634,-4.302165259536315,-3.5227227218192976,-3.350156022727433,-4.469606049028198,-3.9119880070717894,39
-4.419378223263105,-3.9268011655077886,-3.8031238248108266,-3.319705723437375,-4.1275305814993075,-3.2924122578201938,-6.187303628708521,-5.166154970621829,-3.8706327172256114,-3.503405397641438,-4.340367819513235,-3.5689346948177576,-3.398929496384854,-4.423545953486572,-3.9375161069664797,40
-4.4580402398397965,-3.9638593317882522,-3.852323256601599,-3.3689742583834823,-4.147832799352894,-3.3428058106576435,-6.157852632117498,-5.198593892569148,-3.8330116645246153,-3.550824783819327,-4.375506757153448,-3.615380990082448,-3.447832515633758,-4.377429854519725,-3.9619602260356106,41
-4.495953894073892,-4.000706050280602,-3.900532058375916,-3.417314600044825,-4.167756183777319,-3.392614994149879,-6.12228918825601,-5.224010962308147,-3.7981698934908295,-3.59739878796653,-4.406492490410808,-3.6611066346567833,-3.4958541596280686,-4.332132015496431,-3.9844356990537184,42
-4.532347142171859,-4.0365532117167255,-3.9467784177923515,-3.4636938079113713,-4.1866416369824355,-3.4408164385351756,-6.080047003550051,-5.2411642759702906,-3.7661239897955974,-3.6421595504707374,-4.4322354372391635,-3.705156655584173,-3.5419835075217025,-4.288526699785464,-4.004057860795337,43
-4.566447940340162,-4.070612706828519,-3.990090522509477,-3.5070789414730927,-4.203830061178099,-3.486386774051812,-6.030559784425629,-5.2488119296870455,-3.7368905391102674,-3.6841392117196463,-4.4516460155923685,-3.746576079908032,-3.585209638468584,-4.247488170755598,-4.019942046035001,44
-4.597484244785268,-4.1020964263478765,-4.0294965601858665,-3.54643706021996,-4.218662358574167,-3.5283026309380654,-5.973261237308738,-5.245712019589876,-3.710486127106184,-3.7223699121009535,-4.463634643424273,-3.784409934671772,-3.624521631622633,-4.209890691775605,-4.031203589547245,45
-4.6246840117136445,-4.13021626100669,-4.064024718480091,-3.580735223641943,-4.230479431380491,-3.5655406394322124,-5.90758506862538,-5.230622641810247,-3.686927339454692,-3.755883792002351,-4.467111738688728,-3.817703246918806,-3.65890856613777,-4.176608526214259,-4.036957826106605,46
-4.647275197331755,-4.154184101536852,-4.092703185050724,-3.608940491229012,-4.238622181806932,-3.5970774297725305,-5.832964984801553,-5.202301892479625,-3.666230761827138,-3.783712991811537,-4.460987719339586,-3.845501043692547,-3.6873595211679153,-4.148515937440333,-4.036320090487613,47
-4.664485757846069,-4.173211838670254,-4.114560147556339,-3.63001992247114,-4.24243151206334,-3.6218896321972975,-5.748834692263257,-5.159507867729473,-3.6484129798948675,-3.8048896519162048,-4.444173003330699,-3.866848352036407,-3.7088635758669906,-4.126487188822599,-4.028405717464807,48
-4.675543649463051,-4.186511363138792,-4.128623793655507,-3.6429405768582934,-4.241248324359575,-3.6389538769447904,-5.6546278974364945,-5.100998663691258,-3.633490579329226,-3.8184459127040506,-4.4155780086159195,-3.8807901989938003,-3.7224098093889166,-4.111396543729835,-4.012330041812719,49
-4.679676828389168,-4.193294565674359,-4.133922311006802,-3.646669513880447,-4.234413520905491,-3.6472467942532862,-5.549778306747264,-5.025532376496447,-3.6214801458015593,-3.8234139145627695,-4.374113153149098,-3.886371611608138,-3.7269873008876147,-4.10411826553081,-3.987208398305886,50
-4.680243288658991,-4.197763969391563,-4.134733372283196,-3.6450101217061897,-4.220877495393594,-3.6521323928123595,-5.398585444938432,-4.909960824977318,-3.6070281234129156,-3.8238951305198094,-4.307992870743328,-3.887855145047946,-3.7266532221018758,-4.099897742658765,-3.9461912616013937,51
-4.681066103211506,-4.204256022966188,-4.135911483188323,-3.642599763730444,-4.20121567731427,-3.6592289921791883,-5.1789695361796175,-4.742086819486032,-3.5860357697243024,-3.824594123041349,-4.211949540825458,-3.890010058584602,-3.726167954376605,-4.093767202136598,-3.8866116250744303,52
-4.682070846609806,-4.212183505471886,-4.137350080926747,-3.6396564622826744,-4.177206522574191,-3.667894688893457,-4.910795336036947,-4.53709494343386,-3.560401890597001,-3.82544766667318,-4.09467049976997,-3.8926414354157948,-3.725575391274893,-4.086281165217569,-3.813858601576682,53
-4.683183093416976,-4.220959195982308,-4.138942602703024,-3.6363982396923444,-4.150628487080029,-3.6774875794948487,-4.613927600076538,-4.310169780232068,-3.532025291892292,-3.82639253596109,-3.964843083951342,-3.895554358739213,-3.7249194263598286,-4.077994153154941,-3.7333213039598325,54
-4.684328418196106,-4.229995873571108,-4.140582485721719,-3.6330431182889193,-4.123260026738457,-3.687365760523048,-4.308231083864522,-4.076495913291936,-3.502804779471459,-3.8273655054508717,-3.8311546297440566,-3.8985539117525483,-3.7242439531945015,-4.069460687201974,-3.650388845075567,55
-4.685432395510287,-4.2387063173119355,-4.142163167187394,-3.6298091204018634,-4.096879597456147,-3.696887328517738,-4.013570542967017,-3.8512579260247315,-3.4746391591957817,-3.8283033496883148,-3.7022924735225926,-3.9014451776534886,-3.723592865342003,-4.061235288611931,-3.5704503377755707,56
-4.686420599922606,-4.246503306278445,-4.1435780843046075,-3.6269142683606415,-4.073265655139774,-3.7054103800186033,-3.7498107329501504,-3.6496404018417294,-3.449427236926543,-3.8291428432192096,-3.586943951661434,-3.9040332396397233,-3.7230100563654216,-4.053872478638071,-3.49889489491153,57
-4.687218605996151,-4.252799619544287,-4.144720674277922,-3.6245765844947164,-4.054196655696007,-3.7122930115653263,-3.5368164093800436,-3.4868279241541993,-3.4290678185250227,-3.8298207605893455,-3.4937964005350572,-3.906123180908942,-3.722539419827847,-4.047926778533657,-3.4411116293351283,58
-4.687751988294014,-4.257008036183114,-4.145484374311899,-3.6230140911335544,-4.04145105503152,-3.7168933196975926,-3.394452327822823,-3.3780050763734164,-3.4154597098525046,-3.8302738763445148,-3.4315371565179458,-3.9075200846588345,-3.7222248492923695,-4.04395270955195,-3.402489653898052,59
-4.687946321379282,-4.258541335268578,-4.1457626216111,-3.62244481060662,-4.036807309052986,-3.7185694009550847,-3.342583243844611,-3.33835644191065,-3.4105017167702694,-3.8304389650305066,-3.40885355598458,-3.9080290340870896,-3.7221102383220797,-4.042504792946212,-3.3884180814519853,60
-4.689398562214216,-4.263304711695064,-4.149230014264858,-3.624392550703331,-4.032366261770994,-3.7214399938906726,-3.3445809825814257,-3.34214233455012,-3.4154712677562657,-3.832215368286165,-3.412123583745863,-3.910586477665918,-3.7248021498281205,-4.043633904071784,-3.3941213604741054,61
-4.693340358766183,-4.276233876281239,-4.158641508610772,-3.629679273822975,-4.020311990577014,-3.7292316032872668,-3.350003416295636,-3.3524183288572518,-3.428960049003969,-3.8370370342658093,-3.42099937338363,-3.917528110237022,-3.7321087667730883,-4.046698634269765,-3.40960168924843,62
-4.699149322105923,-4.295287381987182,-4.172511079225804,-3.637470234209819,-4.002547801449044,-3.740713975029617,-3.3579943712428935,-3.367561899415131,-3.4488382529479535,-3.8441426472884426,-3.4340794844287608,-3.9277578845523333,-3.7428764127972505,-4.051215078772052,-3.4324148053369097,63
-4.706203063304178,-4.318423781772971,-4.189352700686914,-3.6469306861081296,-3.9809770003650815,-3.7546568550024713,-3.3676976736788493,-3.3859505208068423,-3.4729760720227927,-3.8527708916730696,-3.449962476412134,-3.9401797533637843,-3.7559514115408783,-4.056699332810544,-3.460116446301492,64
-4.7138791934316915,-4.34360162859868,-4.207680347571063,-3.657225883762174,-3.957502893303121,-3.769829989090576,-3.378257149859154,-3.4059616676154683,-3.499243698663058,-3.8621604517386925,-3.4672469088646283,-3.9536976694233035,-3.7701800866442357,-4.062667491617138,-3.4902623497041247,65
-4.721555323559206,-4.368779475424391,-4.226007994455213,-3.667521081416218,-3.9340287862411607,-3.7850031231786825,-3.3888166260394588,-3.425972814424095,-3.5255113253033232,-3.871550011804316,-3.4845313413171226,-3.967215585482823,-3.7844087617475948,-4.068635650423733,-3.5204082531067584,66
-4.72860906475746,-4.391915875210179,-4.242849615916323,-3.676981533314529,-3.9124579851571974,-3.798946003151536,-3.398519928475415,-3.4443614358158055,-3.549649144378162,-3.8801782561889424,-3.5004143333004962,-3.9796374542942736,-3.797483760491221,-4.074119904462225,-3.54810989407134,67
-4.734418028097201,-4.4109693809161215,-4.256719186531354,-3.684772493701373,-3.894693796029227,-3.810428374893886,-3.406510883422672,-3.4595050063736847,-3.569527348322146,-3.887283869211576,-3.5134944443456266,-3.989867228609585,-3.808251406515384,-4.078636348964512,-3.5709230101598193,68
-4.738359824649166,-4.423898545502297,-4.266130680877269,-3.690059216821017,-3.882639524835248,-3.8182199842904803,-3.411933317136883,-3.469781000680817,-3.58301612956985,-3.89210553519122,-3.522370233983394,-3.9968088611806896,-3.8155580234603517,-4.081701079162493,-3.5864033389341445,69
-4.739812065484101,-4.428661921928783,-4.269598073531027,-3.692006956917728,-3.8781984775532554,-3.821090577226068,-3.413931055873697,-3.473566893320287,-3.587985680555846,-3.8938819384468784,-3.5256402617446767,-3.9993663047595174,-3.818249934966392,-4.082830190288065,-3.592106617956264,70
