C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,time
-3.8494276504473937,-3.380867928301558,-5.021985928899156,-3.308303842598433,-3.4898604593128164,-5.430090284881404,-4.034716883810501,-4.455332068735198,-4.035788827340906,-3.730150725051262,-3.3936356439748403,-3.5757097057857554,-5.447519113751232,-4.119059788562666,-3.3488988636637553,-3.53738918148629,-5.07025897875941,-5.331735953884517,-3.7909473461330796,-3.519926617563703,-4.140134222457992,-4.181514079547963,43
-3.881651177913161,-3.419945482223739,-5.048482111702796,-3.268569234102449,-3.4838888827701364,-5.457049875587932,-4.238409589791852,-4.303583771526839,-4.323433050717533,-3.6914608440454457,-3.3377066544357783,-3.5840200878415116,-5.141675060529874,-4.440288508488664,-3.365531736071672,-3.5242702946249396,-4.826797090892879,-5.332900047073481,-3.923891365600231,-3.5293823464262686,-4.024890698496764,-4.522682294974928,44
-3.916717957802377,-3.462471055609641,-5.07731619298911,-3.225328630739172,-3.477390402414866,-5.486388253709743,-4.460075181595085,-4.138445918682446,-4.636457646745036,-3.6493571500097035,-3.2768427540550347,-3.5930637389021856,-4.808844767318393,-4.789860938996368,-3.3836322148685216,-3.509993858922881,-4.561853271744006,-5.334166854367352,-4.068565739726249,-3.5396724043061187,-3.8994786283036613,-4.893953588233682,45
-3.951784737691594,-3.504996628995544,-5.106150274275423,-3.182088027375895,-3.4708919220595966,-5.515726631831553,-4.68174077339832,-3.9733080658380535,-4.9494822427725405,-3.6072534559739617,-3.215978853674291,-3.602107389962861,-4.476014474106914,-5.139433369504072,-3.4017326936653713,-3.495717423220823,-4.296909452595133,-5.335433661661224,-4.213240113852266,-3.5499624621859684,-3.7740665581105595,-5.265224881492436,46
-3.9840082651573607,-3.544074182917725,-5.132646457079063,-3.1423534188799107,-3.4649203455169157,-5.542686222538081,-4.885433479379672,-3.821559768629692,-5.237126466149168,-3.5685635749681444,-3.1600498641352286,-3.610417772018616,-4.170170420885551,-5.460662089430073,-3.4183655660732883,-3.4825985363594714,-4.053447564728599,-5.336597754850187,-4.346184133319419,-3.5594181910485334,-3.6588230341493295,-5.606393096919404,47
-4.010545287776227,-3.576255697912462,-5.154466842917355,-3.109630800118511,-3.460002576599414,-5.564888238414046,-5.053180413717255,-3.6965905826933945,-5.474009944224038,-3.536701320022177,-3.1139906962795303,-3.617261616064532,-3.9182988476444294,-5.725203388192662,-3.4320632257033368,-3.471794747179535,-3.8529495394267483,-5.337556419829333,-4.455667443468837,-3.5672052618765275,-3.5639166026518456,-5.887355156682787,48
-4.028552553124745,-3.5980931545160333,-5.169273533307623,-3.0874261659589908,-3.4566655191196807,-5.5799538920441645,-5.167008690589186,-3.611790063665193,-5.63475230434627,-3.5150805041659856,-3.082736260948878,-3.621905653095689,-3.7473859943736705,-5.904713555210131,-3.4413580661665844,-3.464463604521721,-3.716897307971922,-5.338206942493754,-4.5299596896416565,-3.572489345652667,-3.499515809849983,-6.078007982950795,49
-4.035186808779461,-3.606138533264718,-5.174728629767197,-3.079245511268641,-3.4554360768903054,-5.585504396013156,-5.2089454241735815,-3.5805477671811192,-5.693973173864986,-3.507114940429494,-3.0712214689849535,-3.6236166141071684,-3.6844181010633905,-5.970848879900777,-3.444782481074096,-3.4617626572267373,-3.66677280164646,-5.33844660873854,-4.557330517179011,-3.5744361133596656,-3.475789201975612,-6.1482484978916405,50
-4.022287485207043,-3.5992892115945403,-5.173119512439244,-3.096018832841741,-3.4567661003099888,-5.527823515002117,-5.215951035654566,-3.64858654723164,-5.6357278926366465,-3.501068313293388,-3.0807768352864335,-3.627179977955384,-3.6842059222170214,-5.905574386278588,-3.443762878654216,-3.465003059504169,-3.667863354220532,-5.283880693986905,-4.529390374961475,-3.5762422737548687,-3.4810830465107228,-6.098185016997883,51
-3.987275035510481,-3.58069819563263,-5.168751908263371,-3.141546419968726,-3.4603761638777,-5.371261123686441,-5.234966266817238,-3.8332632359401937,-5.47763355787401,-3.4846560396382436,-3.106712829533306,-3.6368519655433977,-3.6836300082054474,-5.728400760732647,-3.4409953863716845,-3.4737984371143398,-3.670823425493014,-5.135773211089615,-4.453552846085303,-3.5811447091132758,-3.4954520531060225,-5.962298426000544,52
-3.9356777412208115,-3.553300908951921,-5.162315438951559,-3.2086397062611254,-3.465696257556433,-5.140537599642288,-5.2629887127411745,-4.105418356142273,-5.2446524329606525,-3.4604695310938207,-3.144934294739224,-3.651105420936261,-3.6827812928199712,-5.467302786243893,-3.436916976692165,-3.4867600462240658,-3.6751856357893042,-4.917509552083081,-4.341792277215158,-3.5883693506940872,-3.516627431246465,-5.762044502425519,53
-3.873023883869069,-3.5200327751253444,-5.1544997262157874,-3.290110125330467,-3.47215637130918,-4.860373320445815,-5.2970159685059555,-4.435892430673372,-4.961746781280144,-3.4311001992898778,-3.1913460739178388,-3.6684131881990227,-3.681750709851892,-5.150255245793261,-3.431964622081319,-3.502499143000162,-3.680482605434799,-4.652475109003717,-4.206083015015694,-3.5971421297565005,-3.5423403904170017,-5.5188790237987,54
-3.80484174498629,-3.483829217725835,-5.145994391768037,-3.37876911078828,-3.4791864950989337,-4.5554886636731835,-5.3340456291911575,-4.795525982368975,-4.653878866216065,-3.399139455856176,-3.241853010082801,-3.687248111396734,-3.6806291930925115,-4.805232922361692,-3.4265752950048105,-3.5196269836094425,-3.686246954754896,-4.3640552738879395,-4.0583994061515725,-3.606688977559715,-3.5703221401025855,-5.254257767645988,55
