C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,time
-4.598569316499642,-3.474872845899196,-3.8199507915313307,-3.187688262715879,-2.5339219176261305,-3.251684853130218,-4.117619089744407,-3.5440445818198776,-3.2388004358918385,-3.1322798353128967,-3.3830652228540714,-2.821222878180566,-3.0982839571636642,-3.1398335679067633,-3.3214940669587794,-3.22959097576872,-4.120707878543174,-3.7325617966063454,-3.4025273601280865,-3.585289820732005,-3.028216462485908,-3.6452801142304323,-3.503153374632202,53
-4.612447503487835,-3.479999405931198,-3.8231889342994987,-3.173386320898643,-2.5379441069934425,-3.2540857912477583,-4.12109676848461,-3.5505872189983108,-3.241044650898144,-3.1351352682326685,-3.3833874551356478,-2.8240221500028313,-3.100425557540111,-3.1426717954687335,-3.3244075808454343,-3.231176216478546,-4.130421365915768,-3.734284300489845,-3.4039203808017535,-3.5877024769850197,-3.030868919609551,-3.6494330359060645,-3.5016523202638425,54
-4.628479225861911,-3.5004322111005557,-3.831210778729263,-3.160952816354214,-2.561380207529119,-3.262298307171286,-4.126052160698407,-3.5670940120991177,-3.252671005661898,-3.1509857498747915,-3.3813443700087826,-2.842832535259805,-3.1118802037321505,-3.1563040057469167,-3.340723370462189,-3.249776240717198,-4.153343561428453,-3.741296757783629,-3.409373017203061,-3.600005945495719,-3.0434384606330553,-3.657735811936619,-3.509063444617551,55
-4.64337866807019,-3.52992674436928,-3.8418318091643098,-3.1520116883950218,-2.5969721281840292,-3.2739603802676873,-4.131735438010192,-3.588646865913943,-3.2700678939912184,-3.1749782592895466,-3.377703821393153,-2.871728082338952,-3.129129344985415,-3.1766821448712874,-3.365556424439249,-3.279335638281197,-4.182557869602908,-3.7514978698526815,-3.417287424316312,-3.618351508258841,-3.0621031739813134,-3.668060633851196,-3.5226731352850575,56
-4.653860014560991,-3.5622384886993808,-3.852867509948326,-3.148186876333496,-2.637461777909044,-3.286709989903849,-4.137396772044347,-3.610327685234432,-3.289623709694217,-3.202259775527212,-3.3732336632084317,-2.9047828396277375,-3.1486544305455366,-3.1997581589718203,-3.3940217314068226,-3.313798998967063,-4.211147694960809,-3.762786338061984,-3.4260657571258064,-3.6388904472691213,-3.083041148079215,-3.678279693178897,-3.5397677798580878,57
-4.656637449782633,-3.5911229270528664,-3.862133365424997,-3.151102319482065,-2.675591065655032,-3.298185115446655,-4.1422863344252665,-3.6272183748522306,-3.30772684657901,-3.2279772776380686,-3.368701749374295,-2.936070855513626,-3.166936909658146,-3.221483994178488,-3.421234279995115,-3.3471109125713148,-4.232196442023836,-3.7730608637765206,-3.4341101706158477,-3.6577740445212963,-3.102430471351652,-3.6862651814488245,-3.557633765928371,58
-4.648425158183435,-3.610335542391748,-3.867444859938009,-3.1623819571531597,-2.704101900372865,-3.306023736262993,-4.145654296777338,-3.634400839558982,-3.3207656984537115,-3.2472777446723953,-3.364875933810416,-2.95966617838408,-3.1804582315688763,-3.237811596621266,-3.4423090588343337,-3.373215968890471,-4.238787515313668,-3.780220148361276,-3.4398228197707366,-3.6711535820101027,-3.116449232223515,-3.68988929019008,-3.573557481087634,59
-4.625937324211715,-3.6136318176780353,-3.8666174778310496,-3.18364972865921,-2.7157361910134123,-3.3078638317197484,-4.146750830724949,-3.6269569841463336,-3.325128659126436,-3.2553081556804724,-3.3625240704364714,-2.9696428566265656,-3.1856998455233576,-3.2446929124301276,-3.4523610565546843,-3.386058757721052,-4.22400431935198,-3.7821628931812312,-3.441605859574775,-3.675180341730276,-3.1212755191196946,-3.6870242109317637,-3.5848253129276046,60
-4.589289319735228,-3.6046048514061497,-3.8643948146736182,-3.215399490004212,-2.7161479035168945,-3.3057082811455927,-4.1498392623802065,-3.6070621855655025,-3.322983388550177,-3.2558674117625648,-3.360493840602462,-2.970520782325321,-3.1849869132587743,-3.244943152879381,-3.4548856861580446,-3.390627845997062,-4.189752517031342,-3.7804257045039535,-3.440174017967862,-3.672033319122324,-3.1193616946962184,-3.677564327910332,-3.5943571923052997,61
-4.541952752660022,-3.5917266048531302,-3.8656776249812435,-3.2562215204219407,-2.716005039308458,-3.3031192981574606,-4.158065706046764,-3.5810252334499033,-3.3192795116385527,-3.256098775996307,-3.3573487743268746,-2.970956437940145,-3.1832600587447573,-3.244324306023668,-3.4568907814733913,-3.395974344448409,-4.144263575639955,-3.7780413769884778,-3.437581390488442,-3.6669143303253198,-3.1160336465065464,-3.6636575818936366,-3.6065894196017143,62
-4.485676161491866,-3.5760708551549136,-3.8685171315166564,-3.304884394069494,-2.7155705605663614,-3.3000738635546356,-4.1690045156363364,-3.550128151614478,-3.314578369640616,-3.2561657703980345,-3.353430498532111,-2.9712287574218443,-3.180923924575612,-3.2432084831634653,-3.4587599623715803,-3.402136658565469,-4.090109606292955,-3.7751528945869914,-3.434239183518638,-3.660508888381851,-3.1117797503217224,-3.6465564992078727,-3.6210829366945445,63
-4.422208084736521,-3.558711379447433,-3.870964557042586,-3.3601566851039677,-2.7151074294688624,-3.296548958136399,-4.180230045060638,-3.515652963874166,-3.3094413038054173,-3.256231916984081,-3.3490806401405733,-2.9716166747212225,-3.1783831533456435,-3.2419677955992476,-3.460876848723468,-3.409153193838616,-4.029862720105476,-3.771903241251683,-3.430558603440572,-3.6535025063345015,-3.1070883819127886,-3.6275136061792352,-3.637398685461486,64
-4.353297060899755,-3.5407219548666258,-3.871071124321762,-3.420806967682457,-2.7148786081942204,-3.292521562702036,-4.1893166482313795,-3.4788816940439085,-3.304429655382009,-3.2564607377707815,-3.3446408260746616,-2.9723991237890846,-3.1760423876491553,-3.240974354631492,-3.4636250603999095,-3.4170623557582256,-3.9660950281926532,-3.7684354009347394,-3.426950856636367,-3.646580697225859,-3.102447917050788,-3.6077814291339205,-3.6550976077802346,65
-4.2806916284873315,-3.5231763585484273,-3.866888056116913,-3.485603815962061,-2.715147058920694,-3.2879686580508265,-4.193838679060279,-3.441096365938645,-3.3001047656194427,-3.25701575477447,-3.3404526832567782,-2.9738550385762363,-3.1743062700804536,-3.2406002715606745,-3.4673882172717625,-3.425902549814674,-3.9013786416696212,-3.764892357588348,-3.423827149488145,-3.6404289740985103,-3.0983467315067634,-3.588612494398124,-3.673740645528486,66
-4.206140326005018,-3.507148367628773,-3.8564665751907703,-3.5533158040998747,-2.716175743826541,-3.2828672249820547,-4.191370491459048,-3.4035790033733173,-3.29702797576677,-3.258060490011482,-3.336857838609324,-2.9762633530334823,-3.1735794432338422,-3.2412176576872693,-3.4725499392098818,-3.4357121814983347,-3.8382856716515144,-3.7614170951646972,-3.4215986883780283,-3.6357328499950414,-3.095273201051758,-3.5712593282980416,-3.692888740583935,67
-4.131391691958576,-3.4937117592435984,-3.837857904306062,-3.622711506252995,-2.71822762509002,-3.2771942442950017,-4.1794864393393985,-3.3676116301628647,-3.295760627073043,-3.259758465498151,-3.334197919054701,-2.979903001111628,-3.1742665497036255,-3.243198624311753,-3.479493846085123,-3.4465296562995835,-3.7793882292534673,-3.758152597615975,-3.4206766796881394,-3.633177837958037,-3.093715701456814,-3.556974457159868,-3.7121028348242793,68
-4.058194264853774,-3.483940310528839,-3.8091132662255185,-3.6925594965785176,-2.7215656648893893,-3.2709266967889508,-4.155760876613047,-3.334476270122229,-3.296864060787313,-3.262273203250812,-3.33281455151531,-2.9850529167614774,-3.1767722320841094,-3.246915282734603,-3.4886035577683434,-3.4583933797087956,-3.7272584255906147,-3.755241848894368,-3.421472329800601,-3.633449451030086,-3.094162608492975,-3.5470104073098,-3.7309438701272133,69
-3.988296583196374,-3.4789077986204306,-3.7682838837118693,-3.76162834923354,-2.726452825402908,-3.264041563263185,-4.1177681571917075,-3.30545494706635,-3.300899618158633,-3.2657682252857994,-3.3330493629135525,-2.991992033933837,-3.181501132969598,-3.2527397442562926,-3.5002626941303987,-3.4713417572163463,-3.6844683717780917,-3.7528278329520646,-3.4243968450975353,-3.637233202253773,-3.0971022979312828,-3.542619705074033,-3.748972788370433,70
-3.9168794786093057,-3.479371782683151,-3.7098603490301123,-3.8428404123135076,-2.732727517754503,-3.2558504955293577,-4.060183068672137,-3.279139561180098,-3.307643686219791,-3.2699570669179208,-3.3345758136504724,-3.0005579261138138,-3.188425392416192,-3.260216415597817,-3.515169740460947,-3.4860289709375465,-3.6496526378625895,-3.7499211946859528,-3.4290637460343367,-3.644584465732955,-3.1024849083800206,-3.5437917057840465,-3.76558974593105,71
-3.8394523361363646,-3.4846395822601655,-3.6328028342772307,-3.944651802301121,-2.740027268828161,-3.2459949496909806,-3.9825626445515003,-3.253418328609946,-3.3163899038788744,-3.2745110027125373,-3.3368582130663804,-3.0103710915108186,-3.1971099033202224,-3.268706296181455,-3.53331491612891,-3.5027786274649557,-3.6193852771580555,-3.7458240127179616,-3.4348318855047633,-3.65482310244413,-3.1097762753034486,-3.549221579544976,-3.7809168158861444,72
-3.758256524414618,-3.4936096150549907,-3.5418669319639315,-4.0591317459343665,-2.748313714442233,-3.23494661298513,-3.8898046075921155,-3.228517747113233,-3.3269754901978854,-3.279530163561813,-3.339924461492581,-3.0213848511621095,-3.2073484375363424,-3.2783063863596142,-3.5540194421240408,-3.5211332690048263,-3.593147625680511,-3.7411164215878383,-3.441730468548486,-3.6675313557388445,-3.1187383197565772,-3.558220574843508,-3.7955978151633674,73
-3.675533412081135,-3.5051802987711453,-3.441808234600923,-4.178349469951224,-2.757548490415068,-3.223177172648881,-3.7868066805563054,-3.204664314447303,-3.3392376642388246,-3.2851146803579137,-3.3438024592603783,-3.0335525261049456,-3.2189347669192068,-3.2891136864847024,-3.576604539436092,-3.5406354377634104,-3.570421019445976,-3.7363785558353317,-3.449788700205173,-3.6822914689686472,-3.129132962794417,-3.570099940166322,-3.8102765606903692,74
-3.593524367772982,-3.5182500511121457,-3.3373823346989107,-4.294374201089677,-2.7676932325650143,-3.2111583159193064,-3.6784665862063854,-3.1820845283694963,-3.3530136450636925,-3.291364683993003,-3.348520106701074,-3.0468274373765856,-3.2316626633234655,-3.301225196909125,-3.600391429054814,-3.5608276759469577,-3.550686794470468,-3.7321905500001886,-3.459035785514492,-3.6986856854850854,-3.140722125471977,-3.5841709240001025,-3.8255968693948,75
-3.5144707601272254,-3.53171728978151,-3.2333448247686007,-4.399275166087712,-2.778709576710423,-3.199361730033482,-3.569682047304677,-3.161004886637153,-3.3681406517344903,-3.298380305359246,-3.3541053041459734,-3.061162906014287,-3.2453258986037734,-3.3147379179852905,-3.6247013319699617,-3.5812525257617214,-3.5334262867700077,-3.7291325386221583,-3.4695009295161143,-3.716296248639707,-3.153267728844268,-3.5997447748315325,-3.842202558204312,76
-3.4406139577809354,-3.544480432482754,-3.134451297320702,-4.485121591683307,-2.7905591586696428,-3.1882591022284807,-3.4653507866134987,-3.141651887007616,-3.3844559033132193,-3.306261675348808,-3.3605859519263785,-3.0765122530553084,-3.2597182446147817,-3.3297488500656045,-3.6488554691712856,-3.601452529413951,-3.5181208323606157,-3.727784656240987,-3.4812133372497076,-3.7347054017840593,-3.1665316939663013,-3.616132741147293,-3.860737444046554,77
-3.3741953293711773,-3.555437896919396,-3.04545734486592,-4.543982704614448,-2.803203614261023,-3.178322119741378,-3.370370526895171,-3.124252027238226,-3.40179661886188,-3.3151089248538534,-3.367989950373595,-3.0928287995369095,-3.2746334732111437,-3.3463549935024757,-3.6721750616485394,-3.6209702291098984,-3.50425176725831,-3.728727037396424,-3.494202213754941,-3.7534953882696893,-3.1802759418930853,-3.632646071434069,-3.8818453438491773,78
-3.31745624353502,-3.5634881007949546,-2.971118559914964,-4.567927731619119,-2.816604579302913,-3.1700224698092487,-3.289638990912014,-3.1090318050863246,-3.4200000174424723,-3.3250221847665458,-3.376345199818925,-3.1100658664963476,-3.289865356247513,-3.3646533486483094,-3.6939813303914746,-3.6393481670558154,-3.491300427479111,-3.7325398166282167,-3.5084967640714844,-3.7722484514481462,-3.194262393679631,-3.6485960141785423,-3.9061700745398333,79
-3.272638068909531,-3.5675294618129447,-2.9161905349785386,-4.549025899435302,-2.830723689613663,-3.1638318396691667,-3.228053901426345,-3.0962177183092527,-3.4389033181169992,-3.3361015859790513,-3.3856796005936722,-3.1281767749708815,-3.305207665578542,-3.384740915855514,-3.7135954963898437,-3.656128885457954,-3.4787481490390393,-3.7398031284761135,-3.5241261932390056,-3.7905468346709768,-3.208252970380949,-3.6632938178673955,-3.934355453046172,80
-3.2403326801709174,-3.569379737738084,-2.879335676290971,-4.468443140823407,-2.8472637642591585,-3.1590159825052644,-3.1832470670089337,-3.085959267237295,-3.460559445242261,-3.350016737165413,-3.3967674831670265,-3.1493957644120045,-3.322574278935996,-3.4088402468444983,-3.73288857073348,-3.671406165259736,-3.4670829925226294,-3.752397915016932,-3.543373767863052,-3.8111598874276864,-3.2235506140297647,-3.678683975262064,-3.9701539727623305,81
-3.218544514293447,-3.5711911756360126,-2.8548791506380065,-4.323940590699836,-2.8672105989088243,-3.154677826285095,-3.148823705852989,-3.0781046210463283,-3.4862777222114407,-3.367591359256372,-3.410010097456073,-3.1750124867726464,-3.343242327951218,-3.4380854996129937,-3.7536039230014357,-3.685706507660284,-3.457113976460235,-3.7707675230669446,-3.5674776826833416,-3.8360593663293576,-3.2411260779946196,-3.696561020947524,-4.01498269024156,82
-3.205633783361277,-3.5723639271616308,-2.8410706913574786,-4.132480279036535,-2.889450294286322,-3.1510448204208603,-3.1236416551544837,-3.072428280762085,-3.5147799666411164,-3.387656751529142,-3.4248757229639626,-3.2035633818422258,-3.366050465328222,-3.47094108392939,-3.774871311917294,-3.6992215352494,-3.448803873786597,-3.7933356942750787,-3.5948995349408084,-3.863631125409906,-3.260243000334246,-3.7160112661457756,-4.065982267150188,83
-3.199960699458565,-3.5722981439698414,-2.8361600317872213,-3.9110242358054723,-2.9128689511153105,-3.148344414324766,-3.106558752109398,-3.0687047474102993,-3.5447879961478663,-3.4090442132609367,-3.4408326391938453,-3.2335848894101593,-3.3898373437710245,-3.5058714095620775,-3.795820496204637,-3.7121428706168835,-3.4421154574364596,-3.818526170290262,-3.624100921876382,-3.892261018703245,-3.280165019107377,-3.7361210220788146,-4.120293365154539,84
-3.199885474669468,-3.5703939777155447,-2.838396905265068,-3.6765344909785966,-2.9363526701194496,-3.1468040574090135,-3.0964328339137066,-3.0667085220167,-3.5750236283482635,-3.4305850437289673,-3.4573491256488693,-3.263613449265862,-3.4134416159836394,-3.5413408862794444,-3.8155812345870466,-3.7246621363525345,-3.437011500344564,-3.8447626927614227,-3.6535434407309935,-3.9203349002432897,-3.3001557723727424,-3.7559765999686383,-4.175056645920937,85
-3.203768321078144,-3.5660515800536423,-2.8460310451288535,-3.445973074527863,-2.9587875520223994,-3.1466511990858073,-3.0921217377633865,-3.066214105607022,-3.604208680858888,-3.4511105422104493,-3.4738934618321866,-3.2921855011987535,-3.4357019346700834,-3.5758139238498825,-3.833283285788105,-3.7369709550461545,-3.4334547754456533,-3.8704690033374884,-3.6816886887455746,-3.9462386240639553,-3.319478898189079,-3.774664311037246,-4.227412771115709,86
